U,L
"You know, going off on the phone.",give.opinion
"Everybody kind of hung out, same thing.",give.opinion
"We're promoting the movie, people are happy to be around each other,",give.opinion
excited about the film as a whole.,give.opinion
So it's been nice.,give.opinion
"Mind you, Mel Gibson, some people watching this will be",give.opinion
very surprised to see you in a big family friendly film like this.,give.opinion
"Are you sort of surprised that you've done that, gone back",give.opinion
into the heart of Hollywood?,closed.question
"Sure, after digging ditches for ten years, it's been fun.",relax.atmosphere
"Quite frankly it's been a lot of hard work,",respond.agree
"personally, professionally.",give.opinion
"And the work goes on, as I think it does with most of us.",give.opinion
"Was there a moment when you think, you know what I'm going to give up",open.question
"public life, I'm going to get",open.question
on with my own life?,open.question
"There's a thing you've chosen, a career and a calling.",respond.deny
"Particularly in directing, where you just have to get back",give.opinion
up there and express yourself with storytelling.,give.opinion
That never went away.,give.opinion
"All those years I was just writing, conceiving different stories,",give.opinion
which I still have.,give.opinion
"And back at the Oscars, with Hacksaw Ridge?",closed.question
"Yes, that was nice.",respond.agree
APPLAUSE,use.social.convention
"I didn't get the damn thing, but...",give.opinion
"It won Oscars, it did win Oscars.",give.opinion
It was just bait.,give.opinion
It was just out of reach.,give.opinion
They gave it to someone else.,give.opinion
"Ladies and gentlemen, before we do another thing,",give.opinion
is there a doctor in the house?,closed.question
"Why, yes there is.",respond.agree
Dr Will Ferrell.,respond.agree
Woah?,use.social.convention
I am a doctor.,give.opinion
Since you were last here?,closed.question
Yes.,respond.agree
Who made you a doctor?,open.question
The University of Southern California.,respond.agree
OK.,use.social.convention
Which is my University in Los Angeles.,give.opinion
I received an honorary doctorate.,give.opinion
"They say it's honorary, I think it's for real.",relax.atmosphere
"I performed 13 successful surgeries since, and 100",relax.atmosphere
that didn't go so well.,relax.atmosphere
So I'm currently...,relax.atmosphere
I have a lot of malpractice issues.,relax.atmosphere
"Yeah, yeah.",use.social.convention
"These things, you have to do the inspirational speech.",give.opinion
What did you tell the young people?,open.question
I hadn't been put in that position before.,respond.agree
"Usually, I just make fun of things, right?",give.opinion
That's easy.,give.opinion
But then you have to be earnest.,give.opinion
That was a difficult task.,give.opinion
"So, I just told them to keep your feet firmly planted",give.opinion
on the ground and reach for the stars.,relax.atmosphere
Which I read on the back of a cereal box.,relax.atmosphere
"But then your speech took a very unexpected turn, I think?",open.question
At the end?,open.question
Yes.,respond.agree
"Yeah, I thought I would inspire the graduating class by singing",respond.agree
a Whitney Houston song to them.,respond.agree
"Which one did you choose, Will?",open.question
The theme from The Bodyguard.,respond.agree
I Will Always Love You?,open.question
I Will Always Love You.,respond.agree
That's lovely.,use.social.convention
Yes.,use.social.convention
You sang the whole thing?,closed.question
"I started thinking, do I just sing a couple of lines or do I torture",respond.agree
the students and their parents by singing the entire song?,respond.agree
I chose the latter.,give.opinion
He's not joking.,give.opinion
We have a little clip.,give.opinion
This is just a tiny clip of you.,give.opinion
"Can I just say, you're rather good.",give.opinion
# And I...,x
# Will always love you...,x
# Will always love you...,x
APPLAUSE,use.social.convention
"That's good, that is.",give.opinion
That's not bad.,give.opinion
Did you see me look down to try to remember the words?,open.question
Love... You.,relax.atmosphere
"And John Lithgow, congratulations.",use.social.convention
"Not saying a doctorate is a joke, but an Emmy is a proper award.",give.opinion
That is.,give.opinion
But I don't get called a doctor.,give.opinion
"But you got the Emmy for the Crown, for playing Churchill in The Crown.",give.opinion
Very good.,use.social.convention
APPLAUSE,use.social.convention
You were the only American who snuck through,open.question
the net into that series.,open.question
That's right.,respond.agree
It was incredibly intimidating.,give.opinion
Everybody in England has his or her own Churchill imitation.,give.opinion
They know his speeches by heart.,give.opinion
It is the most familiar face and sound of the 20th century,give.opinion
"in England, I think.",give.opinion
"And here I was, this Yank, coming over to play the part.",give.opinion
"You have weird techniques for getting the voice, didn't you?",closed.question
"Well, he himself had a very weird voice.",respond.agree
"If you really listened, he had an extraordinary lisp that",give.opinion
came out of the back of his mouth.,give.opinion
Instead of the front.,give.opinion
"And he had a very nasal sound, as if his entire head was stuffed up",give.opinion
like a medicine ball.,give.opinion
"And he had this strange honk, which people don't really know.",give.opinion
Just every four or five seconds he would...,give.opinion
HE HONKS NASALLY,x
To the extent his speaking voice was really so bizarre that,give.opinion
"if you actually duplicated it, nobody would buy it.",give.opinion
So I had to figure out a hybrid.,give.opinion
"Mel Gibson, this is an odd thing.",give.opinion
Obviously you're Australian.,give.opinion
"As a young boy, you had to learn to do the accent?",closed.question
"I had to, because I came from the United States.",respond.agree
How old were you when you left America?,open.question
"I was 12, when I went to Australia.",respond.agree
You just sounded like an American?,closed.question
AUSTRALIAN ACCENT: I had to bung it on.,respond.agree
"I used to use voice exercises, like Barry Humphries.",give.opinion
"You know, Dame Edna?",closed.question
He wrote these songs called Barry's Party Favourites.,give.opinion
He used to sing things like...,give.opinion
"# As I walked down the Earls Court Road,",x
into a pub I was lured.,x
"# ""Where do you come from"", said a nosy pom.",x
# As I downed the amber fluid.,x
"# So I told him straight, Australian, mate,",x
# I'm here and I'm gonna get plastered,x
"# Cos the beer is crook, and all the sheilas look",x
"# Like you, you pommy bastard!",x
APPLAUSE.,use.social.convention
"It goes on for verses, but I won't bore you",give.opinion
with it.,give.opinion
And that's where your accent came from?,closed.question
It's a learned...,respond.agree
"Yeah, had to learn it.",respond.agree
"Talking of voices, Will, you were saying",give.opinion
"backstage, Mark, you do a very good English accent?",closed.question
He's a master mimic.,respond.agree
"He just did a lovely, fantastic version of",respond.agree
a high-pitched cockney woman.,give.opinion
At our premier.,give.opinion
"Oh, my gosh.",use.social.convention
"50 minutes of material, it was fantastic.",give.opinion
He does impressions of John Lithcow.,give.opinion
He does impressions of all of us.,give.opinion
He does impressions of everybody.,give.opinion
What are you talking about?,open.question
I haven't seen your impression of me.,give.opinion
Dusty!,give.opinion
"Dusty, give him the stick, Brad.",give.opinion
Well done.,give.opinion
Daydies...,give.opinion
Daddies?,give.opinion
Daydies?,give.opinion
Daddy's Home 2.,give.opinion
I should at least get the name right.,give.opinion
Daddy's Home 2.,give.opinion
"It's already, congratulations, a huge hit stateside.",use.social.convention
Now it's open all over the country here.,give.opinion
Obviously the two of you are back as warring dad and stepdad.,give.opinion
"So, you've involved grandparents this time, grandfathers.",give.opinion
We kind of pick up where we left off in the first one.,give.opinion
Mark and I are co-parenting kids together and everything,give.opinion
seems very copacetic.,give.opinion
"Along comes beautiful Dawn Whitaker, here.",give.opinion
"Brad and Don were very emotional, emotionally available to each other.",give.opinion
Very progressive in a way that we talk to each other.,give.opinion
"Sloppy, sentimental.",give.opinion
"Wherever we greet each other in public, we give a nice kiss.",give.opinion
Kiss him!,give.opinion
"There it is, right behind you.",give.opinion
That could be CGI.,relax.atmosphere
We did it.,relax.atmosphere
I don't remember.,relax.atmosphere
I want these people to see it in the cinema.,relax.atmosphere
For real.,relax.atmosphere
You want them to pay.,relax.atmosphere
"Well, that would help.",relax.atmosphere
The casting does seem perfect.,give.opinion
"The four of you as a kind of father and son, father and son.",give.opinion
"We think so, sure.",respond.agree
I assumed the dysfunctional purveyor of tough love.,relax.atmosphere
"Whereas I am just sloppy, sentimental, brimming",give.opinion
over with emotion.,give.opinion
Is that you?,open.question
"Well, it's a sort of extreme version of me.",respond.agree
I'm a little bit sentimental myself.,give.opinion
"I am, too.",respond.agree
You're emotional?,open.question
That's what connects us.,respond.agree
You're always crying.,give.opinion
I found myself crying on a commercial airline flight,give.opinion
watching The Parent Trap.,give.opinion
"My wife looked over to me and said, what is going on?",give.opinion
"I'm, like...",give.opinion
"You know what's going to happen, you know they're all going",give.opinion
to get back together.,give.opinion
I couldn't help it.,give.opinion
Tears were streaming down my face.,give.opinion
"Snot, everything.",relax.atmosphere
"Apparently, you made yourself cry on a plane?",open.question
I was watching Terms Of Endearment for the first time in many years.,respond.agree
A movie that I was in.,give.opinion
A sort of weird version of narcissism.,give.opinion
To sob at your own performance.,give.opinion
I'm so darn good!,relax.atmosphere
"Great release, right?",relax.atmosphere
You're breaking my heart.,relax.atmosphere
"Damn you, John Lithgow.",relax.atmosphere
You did it to me again.,relax.atmosphere
"I mean, Terms of Endearment is...",give.opinion
That's so upsetting.,respond.agree
It's a completely no-fault tear-jerker.,give.opinion
It never fails.,give.opinion
"Mark Wahlberg, I've heard you say that as you get older",give.opinion
you are getting more emotional.,open.question
You do more boo-hooing?,closed.question
Yes.,respond.agree
"No, there's more.",give.opinion
Apparently even Disney's got to you now?,open.question
Do tell.,open.question
Didn't you cry watching a film with your kids?,open.question
"Or maybe you weren't watching with your kids,",relax.atmosphere
"maybe you were just watching it, I don't know.",relax.atmosphere
I get very sentimental.,respond.agree
"The biggest ads that get me now, yes, Shrek makes me cry.",relax.atmosphere
All of those films make me cry.,relax.atmosphere
"Well, I'm in it.",relax.atmosphere
I didn't know you were in that.,give.opinion
Until the other day.,give.opinion
I was Lord Farquaad.,give.opinion
"Very, very moving performance.",relax.atmosphere
Let's just leave it at that.,relax.atmosphere
We've got a clip.,give.opinion
This is the four of you.,give.opinion
"Mark, your character, his parenting is being called into question.",give.opinion
Did you touch the thermostat?,closed.question
Did you turn it up?,closed.question
Of course not.,respond.deny
Did somebody fiddle with the thermostat?,closed.question
"Yes, it's 85 degrees.",respond.agree
85!?,give.opinion
Do you have any idea how much even a few degrees can,closed.question
impact the gas bill?,closed.question
"Of course I do, it's unthinkable.",respond.agree
"Dad, what's going on here?",open.question
Why is it so hot?,open.question
Someone fiddled with the thermostat.,respond.agree
What!?,give.opinion
Who would do that?,open.question
What do you think you're doing?,open.question
It's roasting in here.,give.opinion
I like to sleep with my window open.,give.opinion
"Hey, kid.",give.opinion
Are you allowed to touch the thermostat at your mom's house?,closed.question
"Pssht, duh.",respond.agree
What is going on?,open.question
"Adriana, she turned off the thermostat.",give.opinion
Said she fiddles with the thermostat in your place any time,give.opinion
she damn-well pleases.,give.opinion
Is that true?,closed.question
Tell me that's not true.,give.opinion
"Oh, criminy, Dusty.",give.opinion
You might as well give her your wallet and your 401K,give.opinion
while you're at it.,give.opinion
Do you let the kids touch the thermostat at your house?,closed.question
What?,respond.deny
No!,respond.deny
The thermostat is a sacred covenant.,give.opinion
I can't believe we're even talking about this.,give.opinion
This is madness!,give.opinion
APPLAUSE.,use.social.convention
Do the Brits call it a thermostat?,closed.question
"Because in Ireland, you call it...",give.opinion
Immersion.,respond.agree
The immersion.,respond.agree
"No, they were just messing with your head in Ireland.",respond.deny
That's an immersion heater.,give.opinion
That does the hot water.,give.opinion
They were implying that heats the entire house.,give.opinion
"No, they said just the water.",respond.deny
They did?,closed.question
"Yeah, you weren't paying attention.",respond.agree
I wasn't listening.,relax.atmosphere
"Daddy's Home 2, was the whole thing filmed in your",closed.question
"stomping ground, in Boston?",closed.question
"The whole thing was filmed in Boston, yes.",respond.agree
"Which most people think, oh, that's so cool.",give.opinion
You get to be home.,give.opinion
"I'm, like, well, I live in LA for a reason.",respond.deny
"It's always the person, John, I went to school",give.opinion
"there, I went to Harvard.",give.opinion
"Oh, love it, yeah, great experience.",give.opinion
"Yeah, you went to Harvard.",give.opinion
"Come to Dorchester for a while, you're not going to love it.",give.opinion
"A lot of people show up unannounced, uninvited, that sort of thing.",give.opinion
"Even with all of you there, was Mark by far the most famous",closed.question
person in this film in Boston?,closed.question
"Oh, yeah.",respond.agree
He's a folk hero.,respond.agree
You hear people from across the street yelling his name.,give.opinion
And they know him.,give.opinion
And they all want money.,relax.atmosphere
"Hey, Mark!",give.opinion
Mark!,give.opinion
"It's me, Little Anthony!",give.opinion
"It's so weird, Mark.",give.opinion
"This guy, Little Anthony, he's yelling your name.",give.opinion
"He's like, no, I actually know him.",relax.atmosphere
"But they'll expect jobs, parts in movies.",give.opinion
Trying to figure out other ways to exploit the production.,give.opinion
Other opportunities to create.,give.opinion
"We were shooting a movie, The Perfect Storm, George Clooney.",give.opinion
"I had a bunch of friends visit, show up in Gloucester.",give.opinion
We were kind of standing around between set-ups,give.opinion
and all the equipment is there and everything.,give.opinion
They're looking at the Panavision camera.,give.opinion
"""Woah, what is that?""",open.question
"I said, it's a camera.",respond.agree
"They said, that looks expensive.",give.opinion
"Said, yeah, it's expensive.",give.opinion
"They said, we should steal that.",give.opinion
"Like, how much is that worth?",open.question
"I'm, like, $250,000.",respond.agree
"""Oh, we're throwing that in the trunk.""",give.opinion
"I'm, like, what are you going to do with it?",open.question
Are you going to sell it to the guy in the corner store,closed.question
"for, like, 50 bucks?",closed.question
"The guy's going to be walking around, filming his kids",open.question
with a Panavision camera?,open.question
"Yes, that was a very, very real incident.",relax.atmosphere
There's lots of adult laughs in this.,give.opinion
But it is a movie for families.,give.opinion
Then there are lots of kids in it.,respond.agree
We hear a burgeoning romance between the Ferrell clan,give.opinion
and the Wahlberg clan.,give.opinion
Is this true?,closed.question
"Well, uh, Mark's daughter...",deflection
"""Uh, uh, uh"" - what?",relax.atmosphere
Spit it out.,relax.atmosphere
My oldest son told me Mark's daughter requested,give.opinion
to follow him on Instagram.,give.opinion
"Oh, now it's following him, huh?",closed.question
Or vice versa.,relax.atmosphere
"Yeah, uh-huh.",relax.atmosphere
Don't know how it works.,relax.atmosphere
What did you call my daughter?,open.question
This is starting to sound like the Montagues and the Capulets.,relax.atmosphere
"You know what, I did come to grips...",give.opinion
It burned white hot for one second.,give.opinion
I did come to grips with the fact that it is inevitable at some point,give.opinion
she will have a dating life and be involved with somebody.,give.opinion
And if there were ever two parents...,give.opinion
"That would spawn a child but I think would be polite, kind, thoughtful,",give.opinion
"respectful and worthy of my child's time, it would be from Will",give.opinion
"and his lovely wife, Viv.",give.opinion
They are spectacular.,give.opinion
"So, I decided I wouldn't do anything to the kid,",relax.atmosphere
but I'll crack Will's fucking head open as quickly as that.,relax.atmosphere
He's just joking.,relax.atmosphere
He - he's just joking.,relax.atmosphere
That's why I'm sitting over here.,relax.atmosphere
"Daddy's Home 2, clearly, the name suggests it is a sequel.",give.opinion
"Here's the thing is this true, Mel Gibson, that there might",closed.question
be a Lethal Weapon...,closed.question
Would it be 5?,closed.question
"5, 6, I don't know, I've lost count.",closed.question
"Another one, anyway.",closed.question
Another one.,closed.question
Is it going to happen?,closed.question
"I'm not sure, but I met with Danny and Donner, the director.",respond.deny
We watched him in a stage play.,give.opinion
It was very good.,give.opinion
We started incubating the idea.,give.opinion
"It may come to pass, we're not sure.",give.opinion
We swap ideas.,give.opinion
But have you got the germ of the idea of what would bring,closed.question
them back together?,closed.question
Sure.,deflection
I think we'll call it Flaccid Weapon or...,deflection
Maybe Lethal Haemorrhoids.,relax.atmosphere
"We have to mention Braveheart, everybody's favourite film.",give.opinion
APPLAUSE,use.social.convention
"The Scottish accent in that, how hard was that for you?",open.question
"It was difficult, but I was up there and immersed among people",respond.agree
who all needed subtitles.,give.opinion
"""What did you say?""",open.question
They'd have to repeat it.,give.opinion
Eventually it kind of worked its way into my lexicon.,give.opinion
Is it true that Sean Connery helped you?,closed.question
At dinner one night he did.,respond.agree
We were having...,give.opinion
"We were at Andy Vajna's place, and he's Hungarian.",give.opinion
He made goulash.,give.opinion
"Now, imagine Sean Connery saying that word.",give.opinion
"He said, ""I want some bread rollsh wi' ma goulashh.""",give.opinion
Fantastic.,give.opinion
I've never forgotten it.,give.opinion
"""Goulashh""?",open.question
"""Goulashh"".",respond.agree
"Makes you just want to say it, right?",closed.question
"""Goulashh!""",respond.agree
"Talking about iconic roles, ladies and gentlemen, John Lithgow...",give.opinion
I did not know this until I was reading about you earlier.,give.opinion
"Star Wars, Yoda.",give.opinion
"You played Yoda, but on the radio?",closed.question
That's right.,respond.agree
I...,give.opinion
You didn't know this?,closed.question
What is going on?,open.question
What you talk about onset?,open.question
How did we not get into this?,open.question
It's a little piece of Lithgow trivia.,give.opinion
"Oh, OK.",use.social.convention
"About a year after Empire Strikes Back came out as a movie,",give.opinion
George Lucas produced it as a radio series.,give.opinion
"And he got Mark Hamill, and Billy Dee Williams,",give.opinion
and Anthony Daniels.,give.opinion
But Frank Oz didn't want to play Yoda merely on the radio.,give.opinion
"I was rehearsing a play with John Madden that time,",give.opinion
John Madden the film director back then was a big-time radio director.,give.opinion
But he was directing me in a play.,give.opinion
And he shared the fact that he just couldn't find anyone.,give.opinion
I said...,give.opinion
"AS YODA: Oh, impatient is he.",give.opinion
LAUGHTER,use.social.convention
He hired me on the spot.,give.opinion
It was the quickest job I ever got.,give.opinion
Ever the opportunist!,relax.atmosphere
"If you care to to find it, by God, that's me as Yoda.",give.opinion
"Oh, my God.",use.social.convention
It makes me cry every time I hear it.,relax.atmosphere
APPLAUSE,use.social.convention
"Right, let's meet our next guest.",use.social.convention
She is the queen of Latin and new head judge on Strictly.,use.social.convention
"Dancing the cha cha chat show anecdote, please",use.social.convention
"welcome to the floor, Shirley Ballas!",use.social.convention
She's here!,use.social.convention
Wow!,use.social.convention
Look at you.,use.social.convention
Wow!,use.social.convention
Hello!,use.social.convention
That's Will.,use.social.convention
"Much hugging, much hugging going on.",use.social.convention
"Will, John and Mel.",use.social.convention
And Mark.,use.social.convention
Marky Mark.,use.social.convention
"OK, lovely.",use.social.convention
She's working the sofa.,use.social.convention
I'm working the sofa.,use.social.convention
"Have a seat, do.",use.social.convention
How glamorous.,use.social.convention
"We all feel a bit underdressed now, Shirley.",use.social.convention
Can I borrow your jacket?,closed.question
LAUGHTER So now...,use.social.convention
Shirley is basically had judge on our Dancing With the Stars.,give.opinion
Do you all watch Dancing With the Stars?,closed.question
Oh yeah.,respond.agree
John I believe.,relax.atmosphere
"The rest, no, I don't.",relax.atmosphere
A cursive glance.,x
"So listen, congratulations.",use.social.convention
Thank you.,use.social.convention
Because it's Shirley's first year.,give.opinion
She's never done this before.,give.opinion
"APPLAUSE Never, no TV.",use.social.convention
The show is bigger than ever.,give.opinion
Were you worried before you kind of get out there?,closed.question
"Well, I do, I get butterflies, because I've",respond.agree
"never done any TV before, so...",respond.agree
Just going from being a dance teacher and,give.opinion
travelling the world teaching competitive dancers to dance to,give.opinion
suddenly being the head judge on Strictly was,give.opinion
a little overwhelming.,give.opinion
What happens?,open.question
"Because, so, you know, you're Shirley Ballas, you're a dance",give.opinion
"teacher, you're getting on with your life, you're pushing your",give.opinion
"supermarket trolley, nobody knows who you are.",give.opinion
And then on the Sunday or the Monday suddenly 11 million,give.opinion
people have seen you.,give.opinion
What happens to your...,open.question
Presumably everyone in the street knows you now?,closed.question
"No, because they go around with a cellphone like this.",respond.deny
So I feel pretty safe when I go on the train.,give.opinion
They just have their cellphone or their earphones in.,give.opinion
"I think maybe three, four, five maximum people",give.opinion
have recognised me.,give.opinion
You're kidding?,closed.question
No.,respond.deny
"Aww, do bother if you see her. LAUGHTER I'm OK.",relax.atmosphere
So now your son was sort of pivotal in you getting this job.,closed.question
"Yes, Mark, he's on Dancing With the Stars.",respond.agree
And...,give.opinion
"There he is, there he is, look, one Dancing With the",give.opinion
Stars.,give.opinion
"Yes, with Kim Kardashian.",respond.agree
How many times has he won?,closed.question
He's won it twice.,respond.agree
And my foster son six times and my foster daughter twice.,give.opinion
So ten times in all.,closed.question
Holy moly!,use.social.convention
I have ten mirror balls in my house.,give.opinion
"APPLAUSE That's impressive, that is impressive.",use.social.convention
So your son is on Dancing With the Stars.,open.question
"So what, does he get wind that Len is...",open.question
Wind?,open.question
LAUGHTER Do a lot of dancers get wind?,use.social.convention
He looked odd in that picture...,give.opinion
A lot of dancers suffer from wind.,relax.atmosphere
They do.,relax.atmosphere
It gets trapped.,relax.atmosphere
It's all that holding it in.,relax.atmosphere
The diaphragm.,relax.atmosphere
"So your son, does he hear about Len stepping away?",closed.question
He did.,respond.agree
OK.,use.social.convention
He got wind...,give.opinion
Len was stepping away and he suggested that I go for the,give.opinion
job.,give.opinion
"And even though I've done no TV or anything,",give.opinion
just thought it would be a good idea.,give.opinion
So I did and I was fortunate enough to get the,give.opinion
"position, which has been amazing.",give.opinion
It's thrilling.,give.opinion
And here's an odd thing.,give.opinion
You were at an advantage on the first week.,give.opinion
"When the celebrities walked down the stairs, apparently,",give.opinion
you could tell who could dance.,give.opinion
"I can tell by the way people sit, if they've got good posture, or if",give.opinion
they...,give.opinion
LAUGHTER If they're using their core.,use.social.convention
If their feet are...,give.opinion
"Thank you, Marky Mark.",relax.atmosphere
"By the way, that...",give.opinion
I raised my son with Marky Mark the whole time.,give.opinion
"Lovely, thank you, darling.",use.social.convention
Feet slightly turned out at five to one.,give.opinion
Very nice there.,use.social.convention
And good posture.,use.social.convention
"Yes, I can tell them by the way they walk,",respond.agree
if they're fluid and flow.,give.opinion
Now you're going to get locked in that,give.opinion
position.,give.opinion
Better relax and breathe at some point.,relax.atmosphere
"Actually it's interesting Shirley, because we have",give.opinion
a couch of men who have quite a lot of dance experience.,give.opinion
And I know we've shown you some clips of their,give.opinion
dances.,give.opinion
We would show them on the show but we can't afford to.,give.opinion
But we showed you...,give.opinion
"We showed you backstage so now will, obviously",give.opinion
"great dance work in Blades of Glory, but in Old School, you did your own",closed.question
"choreography, didn't you?",closed.question
"Yes, a beautiful ribbon dance.",respond.agree
We all remember the ribbon dance.,closed.question
Yes.,respond.agree
"Look at that air, look at that lift.",give.opinion
"Yes, I did have a little look and I thought he did very,",respond.agree
very well with his ribbon.,respond.agree
His left arm had a lot to be desired.,relax.atmosphere
Really?,open.question
And it was a good job your ribbon didn't have,relax.atmosphere
"feet, because you tripped over a little bit in the middle, didn't",closed.question
you?,closed.question
You were a little bit off-balance.,closed.question
Let's say lost your core a little bit.,relax.atmosphere
I did that because it's a comedy.,relax.atmosphere
LAUGHTER,use.social.convention
"Now, let's look at Mark Wahlberg.",give.opinion
"Obviously in Boogie Nights you did do boogie, you were on the dance",give.opinion
floor.,give.opinion
Now...,give.opinion
"This is a terrible question, but...",give.opinion
Was it in there all the time?,closed.question
Or...,closed.question
Yes.,respond.agree
Were you dancing around it?,closed.question
"No, we would have just, like, a bird seed bag at that",respond.deny
point.,respond.deny
Pantyhose with birdseed.,give.opinion
You could see it dangling around my knee,give.opinion
there.,give.opinion
Is that it?,closed.question
"Oh my god, I do see that.",give.opinion
I thought that was...,give.opinion
Yes.,respond.agree
That's why they call it pole dancing.,relax.atmosphere
"Shirely, were you impressed by his pole dancing?",closed.question
What was the birdseed bit?,open.question
I missed that.,open.question
"Have you seen the film, Shirley?",closed.question
I've seen the film.,respond.agree
Remember that bit at the end?,closed.question
Yes.,respond.agree
That's in there.,give.opinion
"It's birdseed in a, in a tight...",give.opinion
OK.,use.social.convention
LAUGHTER Because I was going to say I really,use.social.convention
"liked the way he was able to thrust his crutch, you know,",relax.atmosphere
"he had great movement, he had beautiful with",relax.atmosphere
"them, very coordinated, absolutely coordinated for a dancer.",relax.atmosphere
"LAUGHTER And was really, like, rocking it",use.social.convention
with his pelvic thrusts.,give.opinion
"OK, so Mark's winning so far.",give.opinion
Mel Gibson in What Women Want.,give.opinion
"Now, I'm no judge, but you looked like you really",give.opinion
knew what you were doing.,give.opinion
Did you rehearse and train for ages to do that?,closed.question
"Yeah, had a couple of lessons, yeah.",respond.agree
"I mean, you were doing tricks and things.",give.opinion
"I mean, was that all you, or was it a body double?",closed.question
"Oh no, that was me.",respond.agree
It took a long time.,give.opinion
"They say it is one take, but it was 18 times",give.opinion
within a single take.,give.opinion
"Oh, OK.",use.social.convention
"Were you impressed, Shirley?",closed.question
"Well, your 18 times paid off, because he had...",respond.agree
Had a little piece where he had his hat on the end of,give.opinion
"his foot and flicked it, put it on his head,",give.opinion
and caressed that hat.,give.opinion
It was just beautiful the way he twisted it and then threw it...,give.opinion
"With that beautiful hat rack, swung it",give.opinion
around.,give.opinion
Fantastic.,use.social.convention
You were amazing.,use.social.convention
APPLAUSE,use.social.convention
"So all great dancers on the couch, but, but, but, on the couch",give.opinion
there is only one...,give.opinion
Denier of dance?,relax.atmosphere
"Only one Primo Ballerino, and that is",give.opinion
John Lithgow.,give.opinion
I give you Primo...,give.opinion
Here he is with the New York Ballet.,give.opinion
LAUGHTER,use.social.convention
"It looks like they're moving scenery, but that is you up there.",relax.atmosphere
That's right.,respond.agree
But did you dance or were you just...,closed.question
"Oh no, I absolutely danced.",respond.agree
I soloed with the New York City Ballet.,give.opinion
"Now, while we are talking about dancing, we have to",give.opinion
talk about one of the greatest dance movies of all time.,give.opinion
Footloose.,give.opinion
I know!,use.social.convention
"You, John, you played the fierce Reverend...",closed.question
Yes.,respond.agree
Who banned dancing.,give.opinion
