U,L
"If you travel in Europe in the summertime,",give.statement
"and you see someone walking in front of you,",give.statement
"if he's wearing shorts, vests, and sports shoes,",give.statement
they must be an American.,give.opinion
Americans say what they are thinking directly.,give.opinion
They don't hide anything.,give.opinion
They are very obvious.,give.opinion
Everything is practical and realistic.,give.opinion
They dislike abstractions and theory in their daily lives.,give.opinion
"Time is limited today, so I won't keep going.",give.statement
The list here is really long.,give.statement
"Wow, thank you.",use.social.convention
"As required by Chairman,",use.social.convention
we will have an opening celebration on October 7th.,give.statement
"From now on,",give.statement
I ask you to keep October 7th in mind,give.statement
and work hard towards this grand celebration.,give.statement
"Welcome, Chairman. Good to see you.",use.social.convention
This one is the Chevrolet S-10.,give.statement
It was made in 1982.,give.statement
That's the first one they made.,give.statement
The first car from the GM plant.,give.statement
"Wow, Dayton was very well developed back then?",closed.question
Exactly. A very well developed area.,respond.agree
"""I have a secret to share, and from the bottom of my heart,",recall
"I love Ohio, and I love the place",recall
"where I invest significantly, here in Dayton.""",recall
"This is a historic project that is gonna help grow this community,",give.opinion
"give people jobs, and give a future to your kids and my kids",give.opinion
that did for those trucks back there when our parents,give.opinion
and grandparents worked on refrigerators and cars.,give.opinion
"And the future is bright, folks. The future is bright.",give.opinion
Please join me in acknowledging the newly-named Fuyao Avenue.,use.social.convention
"""Good morning, everyone. And we meet again today.""",recall
"Every time I visit this plant, I see a lot of changes.",give.statement
"""Every time when I visit, I see great progress.""",recall
You see there's still empty space for more equipment.,give.statement
It will all be installed within a year.,give.statement
"""If we can follow through with our plan and become successful here,",recall
this will be a great example,recall
"of the US successfully attracting foreign investment.""",recall
Thank you very much.,use.social.convention
"""Thank you very much.""",recall
"He says that a lot of people lost their jobs in this area,",give.statement
and he thanks you for the opportunity.,give.statement
"And tell him, one time, he has to come down here",give.statement
and eat some barbecue with us.,give.statement
#NAME?,x
So the clients are satisfied?,closed.question
"Yes, very satisfied. Especially Chrysler.",respond.agree
I am pairing an American with a Chinese.,give.statement
"The American is the main operator, with",give.statement
a Chinese supervisor by their side.,give.statement
They're pretty slow.,give.opinion
They have fat fingers.,give.opinion
We keep training them over and over.,give.statement
How you doing?,closed.question
The chairman has said from the,recall
beginning this is an American company.,recall
"It's Fuyao Glass America. It needs to be an American company,",recall
"we need to treat it like an American company,",recall
but we need to be successful just like,recall
all our plants throughout the world.,recall
"So, basically, this line, that's the stage.",give.statement
"So from there back to the stage,",give.statement
#NAME?,x
"- Yeah. - We're talking, like,",give.statement
a concert stage without cover,give.statement
and potentially a overhang for weather.,give.statement
We're gonna have to plan for that.,give.statement
"You know what I mean? Like, a concert...",closed.question
"Chairman thinks we're okay with October weather,",respond.agree
so you don't need any hang.,give.statement
#NAME?,x
It won't.,give.opinion
It won't.,recall
"In October, the weather will be like it is today.",give.opinion
"Chairman thinks, in October, the weather will be similar",recall
#NAME?,x
"Also, Chairman says that door can't face this way.",recall
What door?,closed.question
"Face... You know, the opening right there.",respond.agree
"Well, we just signed a contract, so...",give.statement
- What? - That's a big...,give.statement
You got to talk to Jimmy about... I don't know.,give.statement
I think it's...,give.statement
"Jimmy, do you understand what he means?",closed.question
We just did a purchase order and ordered a garage door and stuff.,give.statement
"So, you got to face some other direction, I think.",give.statement
#NAME?,x
So we're gonna have to change it. Is that okay?,closed.question
#NAME?,x
"Yeah, Z, just change it.",respond.agree
"That's gonna cost us $35,000.",give.statement
"I have an idea, but I am not sure it's a good one.",give.opinion
We hang two artworks here.,give.statement
"One is something iconic of China,",give.opinion
like the Great Wall.,give.opinion
#NAME?,x
Only American ones.,respond.deny
"When in Rome, do as the Romans do.",give.statement
Don't upset them.,give.statement
"American, just...",give.statement
They haven't done good decorative work here.,give.opinion
This can't be here. It should be moved to the side.,give.opinion
There are... It's required by law,respond.deny
"to have one in here, and it has to be that height.",give.statement
They're just saying,recall
that it should be moved to the side.,recall
#NAME?,x
David says that is the required height.,recall
We can't place it down there. It has to be that high.,give.statement
We can move it to that corner.,give.opinion
Then up there.,give.opinion
It's a legal requirement. I'll ask him.,give.statement
He has to ask and see. He knows this is the right height.,give.statement
"But sometimes, you have to think, before you do,",recall
"so then we don't have to redo the work,",recall
because it costs money.,recall
"Yeah, I've... That was done...",respond.agree
"I wouldn't have necessarily moved, but",give.statement
that was done way before I got here.,give.statement
Catch another big fish.,relax.atmosphere
Did you all set the bait this way?,closed.question
#NAME?,x
You got the Fuyao employees down here doing it.,give.statement
#NAME?,x
#NAME?,x
Fiyao? Is that how it's pronounced?,closed.question
Fuyao. F-U-Y-A-O.,respond.deny
#NAME?,x
#NAME?,x
Automotive glass. They make the glass...,give.statement
"Yes, make glass.",respond.agree
#NAME?,x
#NAME?,x
"Ooh, that's a big one right there.",give.opinion
#NAME?,x
#NAME?,x
#NAME?,x
C-A-R-P. Carp.,give.statement
- C-A-R-P. Carp. Carp. - Yep. Those are carp.,respond.agree
"Now, the carp that you're catching",give.statement
#NAME?,x
Have you heard of Wheaties cereal?,closed.question
- I don't know. Wheaty... - Never heard of Wheaties?,respond.deny
- Wheaties? I don't know. - Wheaties.,respond.deny
#NAME?,x
"Yeah, buddy. You'd be surprised how good Wheaties works.",give.opinion
Wheaties? W-E-D-S?,closed.question
W-E-E-T-E-S.,respond.deny
"- No. I don't know that. - Okay. Yup, it does the best.",give.opinion
"Looks like they're getting ready to go, huh?",closed.question
"We're going home to gut the fish, and we'll come back.",respond.agree
"All right, Leon. I'mma go home and get me something to eat.",give.statement
"- I'll be back down. - Okay, okay.",give.statement
- I'll be back down. - Nice to meet you.,use.social.convention
"All right, Leon.",use.social.convention
#NAME?,x
- I'm getting ready to leave. - Okay.,give.statement
#NAME?,x
"For a year and a half, I didn't have anything.",give.statement
"When I started at Fuyao,",recall
"I was thankful, I was blessed, I was...",recall
"just on my knees, thanking God that I had something.",recall
"- Hey, what's up, man? - Hey, what's going on?",use.social.convention
Going good.,use.social.convention
#NAME?,x
This is the best game in town right now.,give.opinion
"Going back in there for the first time,",give.statement
I kind of welled up because...,recall
I could see the post locations...,recall
"you know, on the columns, you know?",recall
Which actually tells you where you are in the plant.,recall
"People still get lost. I said, ""I don't get lost.""",recall
"At General Motors, I was making $29",recall
and some change an hour.,recall
"At Fuyao, I make 12.84.",give.statement
"Back then, if my kids wanted a pair of new gym shoes,",recall
I could just go get them. I can't just do that now.,give.statement
"We lost our home, we lost a vehicle.",recall
#NAME?,x
"When GM closed, I foreclosed on my house.",recall
"Ever since then,",recall
I have struggled to try to get back to middle class again.,give.opinion
I've been living in my sister's basement.,give.statement
I am fortunate enough to have a bedroom.,give.opinion
And the only thing in here is my end tables and my TV.,give.statement
The bed isn't mine. The bed is theirs.,give.statement
"You know? So, yeah.",give.statement
"We've been down about... I don't know, 45 minutes or so.",give.statement
"Water spots, I guess.",give.statement
Thank you.,use.social.convention
They've drained the washer. They're slowing it down.,give.opinion
They get upset when we're all trying to figure something out.,give.opinion
"Everybody gets upset, and then everybody's upset",give.statement
"in their own language,",give.statement
"and then everybody just walks their own way, and...",give.statement
meet back here in five minutes.,give.statement
Set the water temperature to 60°.,give.statement
Because it has high alkalinity.,give.statement
"Okay. Later on, we're going to try to lower the...",respond.agree
Okay.,respond.agree
Be careful.,give.statement
Beautiful. Beautiful.,relax.atmosphere
Down a little.,give.statement
Down a little bit.,give.statement
This damn thing...,relax.atmosphere
#NAME?,x
Allen wrench.,give.statement
#NAME?,x
My first impression of Ohio was how flat it is.,give.opinion
My family's in China.,give.statement
Two lovely children,give.opinion
and a beautiful wife.,give.opinion
Fuyao offered me my first job at 18.,recall
I've worked in the furnace for more than 20 years.,recall
"It's a hard job, but I love it.",give.opinion
"Because of the language barrier and cultural differences,",give.statement
it's hard to quickly integrate everyone's ideas.,give.opinion
I don't have much time to eat every day.,give.statement
"So every week, I bring a box of Twinkies.",give.statement
This is my lunch.,give.statement
I eat two at a time.,give.statement
Look at the red sticks. This one is broken.,give.statement
We have to pull it out by ourselves.,give.statement
Look at the scars on my arm.,give.statement
These are all scalds.,give.statement
I got burned.,give.statement
Air.,give.statement
Wong and I have spent a lot of time together,give.statement
with him teaching me everything...,give.statement
"Mother's Day, we spent the whole weekend working together",give.statement
"with our little translators, talking back and forth.",give.statement
"That's when they told me that they had to be here two years,",recall
"away from their family, no extra pay.",recall
That really made me start thinking,give.statement
and appreciating what they're doing for us more and more.,give.statement
"I've ate at their house, they've ate at my home.",give.statement
We've just bonded.,give.statement
And we've tried to learn each other's culture.,give.statement
"I got the big idea, Thanksgiving, to...",give.statement
"invite my close friends,",give.statement
which should have been about four or five of them.,give.statement
"It ended up being, I think, 13.",recall
"Bought a 25-pound turkey, the biggest",recall
"honey-baked ham I could get,",recall
and all of the traditional trimmings.,give.statement
I know that in China they're not allowed to have guns.,give.statement
"We had my 12-gauge shotgun out there, pistols.",recall
Couple of the very brave ones wanted,recall
to go up and down the road with me,recall
on my Harley.,recall
They talked about it forever.,give.statement
That made me happy.,give.statement
"That's the front page of The Washington Post, fellas.",give.statement
That's big-time.,give.opinion
The only negative thing that I can see from this article,give.statement
"is that, out of our 2,000 people,",give.statement
they picked the number one UAW...,give.statement
organiser and sympathiser to talk to.,give.statement
Number one.,give.statement
"- Anyway, it's a big deal. - That's a big deal.",give.opinion
With all of this scrutiny,give.statement
and with all of this visibility comes,give.statement
even more responsibility on us,give.statement
to do things right.,give.statement
Now the whole world is watching.,give.statement
Now the whole world is watching us.,recall
"It should say have ""to be the world.""",give.statement
"Yeah, they said they had an S.",respond.agree
Good afternoon.,use.social.convention
#NAME?,x
Good afternoon.,use.social.convention
Thank you guys very much.,use.social.convention
You don't know how important this is to Fuyao,use.social.convention
and to the chairman.,use.social.convention
The plant looks great.,give.opinion
These people are coming here,give.statement
to see something that they never in,give.statement
their lifetime thought would happen.,give.opinion
You have given hope and you have given life to a community,give.opinion
that was desolate.,give.opinion
This is one of the greatest projects,give.opinion
in the history of the United States.,give.opinion
"So, be proud, and most importantly,",give.opinion
have fun.,give.opinion
"Two lands,",give.opinion
the bridge is what brings us together.,give.opinion
Yeah.,give.opinion
And the... How do you say in English?,closed.question
#NAME?,x
"Yes, bond.",respond.agree
Welcome.,use.social.convention
Welcome to the US.,use.social.convention
Today the chairman's vision has been fulfilled.,recall
Fuyao has invested close to 500 million.,recall
Ni hao.,use.social.convention
Really good seeing you guys. Thank you.,use.social.convention
Thanks for having us out here. We really appreciate it.,use.social.convention
- It's a big deal. - Absolutely.,give.opinion
This is big. A lot of people.,respond.agree
#NAME?,x
Chairman ordered the weather.,give.statement
"Oh, I mean, it couldn't be better.",respond.agree
#NAME?,x
#NAME?,x
"Yeah, all right.",use.social.convention
"""My dear guests and friends, good morning.""",recall
"Today, we hold the opening ceremony",give.statement
of Fuyao Glass America.,give.statement
We've heard both candidates for president,give.statement
refer to Ohio as the Rust Belt.,give.statement
"And, you know, you look at... look at this today,",give.statement
and we reject that term.,give.statement
"With Chairman Cao, we know how to make everything in this state.",give.statement
"And, this is a terrific example.",give.opinion
One last point: I know many workers,give.statement
here are trying to form a union,give.statement
to strengthen their voice in this great company.,give.statement
"Ohio has a rich... a rich, rich history",give.statement
of unions and management working together.,give.statement
"I support those in this community, in this plant, in this crowd",give.statement
that want to vote on whether or not to join a union.,give.statement
I hope Fuyao looks at it the same way. Thank you all so much.,use.social.convention
Who the fuck does he think he is?,closed.question
"Out of place, totally out of place.",give.opinion
Fuck him.,give.statement
"Three, two, one.",give.statement
Our glass is totally made in USA.,give.statement
"Ladies, you're doing a beautiful job.",give.opinion
Create good glass and transfer good glass.,give.opinion
The senator mentioned the workers union in his speech.,give.statement
Does Fuyao have any good strategies,closed.question
for avoiding these risks?,closed.question
"Hey, Charles. How you doing, man?",use.social.convention
"Dave, there's one thing I got to talk to you about.",give.statement
Regarding Sherrod Brown's comments...,give.statement
Yes.,respond.agree
"You know, that's obviously not beneficial to us.",give.opinion
Absolutely right.,respond.agree
Don't wanna talk about certain topics.,give.statement
Correct.,respond.agree
"So I think, at this point, Chairman, you know,",give.statement
will definitely ask about,give.statement
- what we're gonna do about it. - It's okay. Yeah. Yeah.,respond.agree
I'm gonna have to kill a senator.,relax.atmosphere
I'm gonna take those big scissors and,relax.atmosphere
cut the... Senator Brown's head.,relax.atmosphere
He...,relax.atmosphere
It's big.,relax.atmosphere
He didn't tell us he was gonna do that.,relax.atmosphere
"He did that on purpose, so they're cut off.",give.statement
They'll never be allowed in the plant again.,give.statement
You all know our stand on this.,give.statement
We don't want to see the union developing here.,give.statement
"""First, you all know our stand on this,",recall
"that we want to avoid unions.""",recall
"If we have a union, it will impact our efficiency,",give.opinion
thus hurting our company.,give.opinion
It will create loss for us.,give.opinion
"If a union comes in, I'm shutting down.",give.statement
They keep interfering with my production.,give.statement
Slowly bleeding money is even worse than a union.,give.opinion
"""Right now,",recall
"if they're creating extreme inefficiency in my production,",recall
"I'm just bleeding money.""",recall
"John, if you want to continue to be president,",give.opinion
you have to listen to my advice.,give.opinion
Every piece of glass counts.,give.opinion
Every piece that goes down that line and,give.statement
"goes... gets on that customer truck,",give.statement
it matters.,give.opinion
Our customers are counting on us.,give.opinion
"General Motors, Chrysler, Toyota, Honda.",give.statement
"Whether it's coming from China or whether it's coming from Dayton,",give.statement
it's the same... it's the same thing.,give.opinion
We have to be able to provide them glass,give.statement
"at the same level of efficiency,",give.statement
the same level of cost and quality.,give.statement
It's audit day.,give.statement
We don't have glass to show them.,give.statement
We should have some ready,give.opinion
for the customers to check.,give.opinion
"The glass is gonna run through the furnace,",give.statement
basically the same as the other furnace over here.,give.statement
This one's just a little bit faster.,give.statement
"So it comes down the line, it comes in here.",give.statement
Down in here is another one of those free-liners,give.statement
that puts the glass into position.,give.statement
This is an automatic...,give.statement
Keep it or throw it out?,closed.question
#NAME?,x
There must be some flaws if the glass exploded.,give.opinion
"The overall quality of the glass is not good enough,",give.opinion
but there's no way to improve it now.,give.statement
We still want to achieve our targets.,give.statement
One is output. The second is speed.,give.statement
We need one more person.,give.statement
Transfer someone from China here.,give.statement
"You have the Chinese, who want numbers on this side.",give.statement
"You have Quality, who wants",give.statement
customer satisfaction on this side.,give.statement
And we're in the middle.,give.statement
"Today was a shitshow, totally a shitshow.",give.opinion
Any little microscopic chip can cause a breakage.,give.statement
"As soon as it hits the press, it begins to cool.",give.statement
If there's a...,give.statement
Got it?,closed.question
Four hundred-and-something degrees.,give.statement
And they're six feet away from it?,closed.question
"We need to find some solutions,",give.statement
whether it's them stepping into a colder room,give.statement
as soon as they leave there...,give.statement
We've got to get them some relief.,give.statement
How much time do you spend in there?,closed.question
About ten minutes or so.,respond.agree
"Ten minutes an hour, a day, a...?",closed.question
Sometimes every hour.,respond.deny
"So every hour? So you go in there, it's about 200 degrees,",give.statement
and you clean up in there for about two hours... All right.,give.statement
The conditions...,give.opinion
are not favourable.,give.opinion
Doing the same thing over and over again.,give.opinion
That wears on you.,give.opinion
"Body, mind...",give.opinion
You're so... It's...,give.opinion
Sometimes you think...,give.opinion
"""Why am I doing this?""",recall
You think about whether you have the stamina,give.statement
and the will to do this type of job.,give.statement
Anything they're not happy about?,closed.question
It gets really hot in here.,respond.agree
Our American colleagues are very afraid of heat.,give.opinion
"We try to give them the environment they want,",give.statement
as long as it's within a reasonable budget.,give.statement
The spaces between the production lines are pretty narrow.,give.opinion
The Occupational Safety & Health Administration,give.statement
thinks it's too dense.,give.statement
"""A tall tree catches the wind.""",give.statement
"Yes, it's a huge tree.",respond.agree
Let's welcome Chairman.,use.social.convention
"Dear staff,",use.social.convention
good morning.,use.social.convention
We haven't reached our goals.,give.statement
This is a very tough challenge for us.,give.opinion
We are all Chinese.,give.statement
We were born,give.statement
of Chinese mothers.,give.statement
No matter where you die or are,give.statement
"buried, you will always be Chinese.",give.statement
The motherland is like a mother.,give.statement
This is eternal.,give.statement
"Today, Chinese come to the US to operate factories.",give.statement
"The most important thing is not how much money we earn,",give.statement
but how this will change Americans' views of the Chinese,give.statement
and towards China.,give.statement
Every Chinese person should do things,give.statement
for our country and our people.,give.statement
It's down to every one of you here.,give.statement
"American workers are not efficient, and output is low.",give.opinion
I can't manage them.,give.statement
"When we try to manage them, they",give.statement
threaten to get help from the union.,give.statement
How can we make Americans understand,closed.question
that the Chinese can open factories in America?,closed.question
This is a big problem.,give.opinion
#NAME?,x
#NAME?,x
#NAME?,x
♪ Noble sentiments ♪,misc
♪ Are transparent ♪,misc
♪ For the sake of transparency ♪,misc
♪ We've gone through difficulties ♪,misc
♪ For the sake of transparency ♪,misc
♪ We've struggled every bit ♪,misc
♪ Fuyao holds up ♪,misc
♪ A transparent world ♪,misc
♪ China is filled with spring ♪,misc
♪ And happiness is everywhere ♪,misc
♪ All the blessings from Fuyao ♪,misc
♪ Are transparent ♪,misc
Ni hao.,use.social.convention
#NAME?,x
Ni hao. Good morning. Pleasure to meet you.,use.social.convention
#NAME?,x
#NAME?,x
#NAME?,x
Nice to meet you.,use.social.convention
#NAME?,x
Ni hao.,use.social.convention
"Good morning, my name is John Withrow.",use.social.convention
I'm supervisor in Lamination.,give.statement
Good morning. I'm Austin Cole.,use.social.convention
I'm a tempering backlight production supervisor.,give.statement
"Jon Helton, the continuous improvement supervisor.",use.social.convention
"Good morning, Darren Noble. Lead",use.social.convention
"supervisor, ARG packaging assembly.",give.statement
"Welcome, everybody.",use.social.convention
Welcome home.,use.social.convention
The whole world is looking at FGA and you guys are the top guns.,give.opinion
We are investing in the US.,give.statement
"We love the country, and we want to be part of the country",give.opinion
and provide benefits to the country.,give.opinion
And we hope that FGA will be profitable soon,give.opinion
and to let our customers know that we are a strong company.,give.opinion
This is a very valuable time and also a special time.,give.opinion
"Tonight we'll have you join our year-end group party,",give.statement
"and, we also hope you can, get some time to taste local cuisines.",give.statement
Thank you for putting us up in a nice hotel.,use.social.convention
Yes.,respond.agree
I think that we are also anxious to see how your process runs,give.opinion
and look forward to taking back new ideas,give.opinion
and implementations to help us run better as well.,give.opinion
I can't breathe in that.,relax.atmosphere
Non-stop.,give.statement
#NAME?,x
"This is the line they'll run 7,000 on?",closed.question
We hope someday to get this good.,give.statement
Attention.,give.statement
Dress right.,give.statement
Keep an eye on the distance,give.statement
between yourself and others.,give.statement
Eyes front.,give.statement
Straddle.,give.statement
"Hello, everyone.",use.social.convention
Good. We are good.,use.social.convention
Number off.,give.statement
#NAME?,x
#NAME?,x
#NAME?,x
#NAME?,x
#NAME?,x
Eleven.,give.statement
#NAME?,x
#NAME?,x
#NAME?,x
Eighteen.,give.statement
Nineteen. Report.,give.statement
"There should be 19 people in this team, and all 19 people are here.",give.statement
Over.,give.statement
Good afternoon.,use.social.convention
Good afternoon.,use.social.convention
#NAME?,x
#NAME?,x
#NAME?,x
Attention.,give.statement
#NAME?,x
Our slogan is?,closed.question
To stand still is to move back.,respond.agree
Attention.,give.statement
The preparation meeting is over.,give.statement
Dismissed.,give.statement
I heard things are not going too well over there.,closed.question
Right. That's true. That's why we're doing training here.,respond.agree
You guys have eight days off every month.,give.statement
You have all the weekends.,give.statement
Only eight hours a day. That's an easy life.,give.opinion
Yes.,respond.agree
These workers only have one or two days off per month.,give.statement
They're not too happy about that.,give.opinion
That's why I told you American workers are too lazy.,give.opinion
It's just your nature. But you're not bad.,respond.deny
Every person can be changed.,give.opinion
We have some extremely diligent workers.,give.opinion
"Very motivated, very ambitious.",give.opinion
They're great.,give.opinion
"But most workers are there just to make money,",give.opinion
not to make glass.,give.opinion
How many hours a day do they work?,closed.question
Eight hours per shift.,respond.agree
Eight hours. So about 100 dollars a day.,give.statement
Here we say you have to be worthy of your salary.,give.statement
"You need to prove you deserve it. You understand, right?",closed.question
"Yes, I understand.",respond.agree
I heard that your workers like to joke around and talk a lot.,give.opinion
The best tool we can use is duct tape.,relax.atmosphere
Put it over their mouths. They will perform better.,relax.atmosphere
#NAME?,x
Can you do that there?,closed.question
"No, we can't. But if we could do",respond.deny
"that, we'd have improved production.",give.opinion
Because they're too chatty now.,relax.atmosphere
"Well, the most important thing",give.opinion
is that you all should be united and concentrate your efforts.,give.opinion
It's not bad working here.,give.opinion
I'm married.,give.statement
My child is in my home town.,give.statement
"We don't have many holidays, so I",give.statement
don't have much time to go back home.,give.statement
"Only during the Spring Festival, once a year.",give.statement
We work 12 hours a shift.,give.statement
"I'm tired, but I have no choice.",give.statement
We work whenever we're asked by our leader.,give.statement
I have two kids now.,give.statement
"One is six months old, the other is four years old.",give.statement
They're pretty young.,give.opinion
"If we're too busy, we may not be able to take days off.",give.statement
I only go home once or twice a year.,give.statement
"My older kid is 11, and the younger one is eight.",give.statement
I work long hours and I spend very little time with them.,give.statement
Holy shit.,relax.atmosphere
"They don't have any safety glasses on, nothing. Unbelievable.",give.statement
Those aren't even cut-resistant gloves.,give.statement
"Man, that is nuts.",relax.atmosphere
You got to be kidding me.,relax.atmosphere
The glass in our factory...,give.statement
Different glass colours have different values for recycling.,give.statement
So they have to sort the colours.,give.statement
These people sit there all day long doing that.,give.statement
That's fucking crazy. Picking through fucking glass like that.,give.opinion
We are energetic at Fuyao.,give.opinion
All of us are energetic and happy to work here.,give.opinion
All of our workers are members of the workers union.,give.statement
"Mao Zedong,",give.statement
"and this is Deng Xiaoping,",give.statement
"Jiang Zemin,",give.statement
"Hu Jintao,",give.statement
Xi Jinping.,give.statement
These are the five leaders since China was established.,recall
"Without backing from the government,",give.statement
the company wouldn't get too far.,give.opinion
Our workers union and the company,give.statement
are closely related to each other.,give.opinion
They are like two gears rotating together.,give.opinion
We need our workers to fight for Fuyao's success.,give.opinion
We are all in the same boat.,give.opinion
Keeping the boat safe means everyone is safe.,give.opinion
"If the boat sinks, everyone loses their jobs.",give.opinion
It's quite simple.,give.opinion
"Chairman Cao, here is a hada for you.",give.statement
Next on the red carpet will be workers from two teams.,give.statement
They have won the Excellent Team award.,use.social.convention
Year 2017...,use.social.convention
"""Soaring ambitions.""",give.statement
"""The spirit of craftsmanship is all over China.""",give.statement
Let's welcome Chairman Cao with our warmest applause.,use.social.convention
"Dear Chairman,",use.social.convention
"dear colleagues,",use.social.convention
tonight is a gathering time for our Fuyao family.,use.social.convention
Everybody performing tonight works here at Fuyao.,give.statement
♪ We've cooked A joyful New Year's Eve dinner ♪,misc
♪ The family is cheerful the family is joyful ♪,misc
♪ We wish you radiant joy ♪,misc
♪ Happy New Year we wish you an auspicious New Year ♪,misc
♪ We wish you a safe year we wish your family a fortunate New Year ♪,misc
♪ May you be happy and prosperous ♪,misc
"♪ May the best come, may the worst leave ♪",misc
♪ Always be courteous and polite ♪,misc
♪ May you be happy and prosperous ♪,misc
Come on. Two words have become really popular recently.,give.opinion
What are the words?,closed.question
Intelligence. Lean.,respond.agree
♪ Intelligent and lean manufacturing ♪,misc
♪ All industries should adopt them ♪,misc
"♪ Finance, service, manufacturing ♪",misc
♪ Intelligent and lean manufacturing ♪,misc
♪ Technology is developing rapidly ♪,misc
♪ The information age has already arrived ♪,misc
♪ Employee relations system is amazing ♪,misc
♪ Great at resource integration and market response ♪,misc
♪ Waste eliminated and revenues generated ♪,misc
"♪ Transition, upgrade promotion, integration ♪",misc
♪ A corporation with lean manufacturing ♪,misc
♪ Fuyao is creating a new future ♪,misc
"We're very impressed,",give.opinion
"everybody from the United States, with China's operations.",give.opinion
Very harmonious people.,give.opinion
You see it and you feel it.,give.opinion
♪ Young man there's no need to feel down ♪,misc
"♪ I said, young man pick yourself off the ground ♪",misc
"♪ I said, young man because you're in a new town ♪",misc
♪ There's no need to be unhappy ♪,misc
♪ It's fun to stay at the YMCA ♪,misc
♪ It's fun to stay at the YMCA ♪,misc
♪ They have everything for the men to enjoy ♪,misc
♪ You can hang out with all the boys ♪,misc
♪ It's fun to stay at the YMCA ♪,misc
Please hold the hand of your bride.,give.statement
"From this moment on,",give.statement
"no matter poor or rich,",give.statement
"you will always care for her,",give.statement
"cherish her, and protect her,",give.statement
until forever.,give.statement
Will you?,closed.question
#NAME?,x
We're one...,give.opinion
big planet.,give.opinion
A world...,give.opinion
somewhat divided.,give.opinion
But we're one.,give.opinion
And tonight is an example.,give.opinion
#NAME?,x
Happy tears.,give.statement
I'm very happy to share in your culture.,give.statement
#NAME?,x
We are one.,give.statement
#NAME?,x
"Yes. One tongue, one company.",respond.agree
Yes.,respond.agree
Thank you.,use.social.convention
- Aren't watermelons sweet? - Sweet.,use.social.convention
Choose the best picture to put on the cover,give.statement
of the next edition of Fuyao People.,give.statement
