U,L
"and now this year, you have got the Victoria Christmas special. Yeah.",give.statement
"Is it weird, because you're at home -",closed.question
does everybody have to stop and watch you on telly?,closed.question
I think my family thought this year was going to be a break...,respond.agree
..and now it's the Christmas special.,respond.agree
Do you watch it or do you kind of Sky Plus it,closed.question
and then come back to it?,closed.question
"My grandma will always watch it unless Wimbledon's on,",respond.agree
and then I get Sky Plussed all of the time...,respond.agree
"..and then we usually go 50-50,",give.statement
so you kind of get the drunk games room,give.statement
and then my grandparents watching the telly. Aww.,give.statement
"Or it gets to, like, the heat of the moment",recall
and Matt Smith is about to die on Doctor Who,recall
and suddenly my niece Millie,recall
will do a little dance in front of the telly.,recall
"Get out of the way! I'm going to put this down, in case...",give.statement
"I'll hold that for you, darling.",use.social.convention
"Absolutely delicious, but I'm so scared what might happen.",give.opinion
"OK. There we go. Actually, it's hitting me already.",give.opinion
I'm like...,give.statement
"Girl, that's a pretty dress you've got on!",relax.atmosphere
Has that got a little kick to it?,closed.question
"Yeah. No, no, it's a glow.",respond.agree
It makes everyone nicer.,give.opinion
Let's start with our first Christmas treat -,give.statement
Will Smith's movie Bright.,give.statement
"Now, this started streaming today on Netflix.",give.statement
"It's one of those films, it's like nothing you've seen before.",give.opinion
It is when genres collide. Yes.,give.opinion
But you've got a very good way of describing it to people.,open.question
"Yeah, Bright is... It's out today, that's right, I like that. So...",respond.agree
What the hell are you all doing here?!,relax.atmosphere
LAUGHTER,use.social.convention
"No, it's...",give.statement
"Sort of... Imagine Training Day, if you saw Training Day,",give.opinion
"so it's a sort of gritty LA cop drama,",give.opinion
so it's like Training Day meets Lord Of The Rings.,give.opinion
Right?,closed.question
It sounds like he's making that up. No.,respond.agree
"They're like, ""Oh, Will's stupid.""",recall
"No, but...imagine that Lord Of The Rings was 4,000 years ago,",give.statement
"but all of the creatures came forward into the modern day,",give.statement
"so it's a modern-day rough LA cop drama,",give.statement
"but there's orcs and there's fairies and there's elves,",give.statement
as if they've come in to society.,give.statement
"So it's really... It's essentially about racism, right?",give.opinion
"In a really interesting, bizarre, fun action way.",give.opinion
It does take about five or ten minutes to get your head round it...,give.opinion
"Yeah, yeah. ..and then, once you're in it, you're in it,",respond.agree
"cos the world is so complete. Yes, it's really bizarre.",give.opinion
"Joel Edgerton plays an orc,",give.statement
and he's the first orc on the Los Angeles Police Department.,give.statement
What's an orc? An orc. What is it?,open.question
"Come on, everybody knows what an orc is, Jamie!",relax.atmosphere
LAUGHTER,use.social.convention
"Now, having said that, I do know what orcs are,",relax.atmosphere
but what is an orc?,open.question
"It's the... See, Jenna doesn't know either.",give.opinion
I don't know what an orc is.,respond.agree
It's the thing that Joel Edgerton is in the movie.,give.statement
Put the picture...,give.statement
"There it is, that's an orc. That's an orc. That's an orc.",give.statement
That's an orc.,give.statement
"Yeah, but a lot of them have bigger teeth.",give.opinion
You'll see. Yes.,respond.agree
"It's directed by David Ayer, who wrote Training Day.",give.statement
"Yes, he wrote Training Day.",respond.agree
"He did Suicide Squad,",give.statement
"so he's into that, you know, really weird stuff.",give.opinion
"It's a whole lot better than I'm sounding right now, trust me.",give.opinion
You're going to love it!,give.opinion
Here's a clip to demonstrate what we're talking about,give.statement
"and this is you and Joel Edgerton, your orc partner,",give.statement
preparing for a shoot-out. Mm-hm.,give.statement
"I'm running out of patience, Officer Ward.",give.statement
Let's give them the wand. What?,give.statement
"Look, we're going to get everyone in here killed,",give.opinion
"and then he's going to take the damn wand, anyway.",give.opinion
I'm not giving that guy the wand.,respond.deny
Over my dead body.,respond.deny
He's going to have to kill me first.,respond.deny
So you want to die in a gunfight in a nasty-ass titty bar?,closed.question
I want to die. Let's do it right now.,give.statement
We're going to titty-bar gunfight die.,give.statement
"Let's do it, right here, right now.",relax.atmosphere
You ready? I just wish your dumb ass was a better shot.,closed.question
"Let's go, on three.",give.statement
"One... Let's do it. ..two, three.",respond.agree
SCREAMING,relax.atmosphere
Ooh!,relax.atmosphere
APPLAUSE,use.social.convention
I'm sure you are wearing some make-up in this film...,give.opinion
"I know, yeah! Joel Edgerton's wearing a lot.",respond.agree
It was terrible.,give.opinion
"Joel Edgerton, he had four hours a day in make-up. Wow.",give.statement
"So he would do four hours, and then I'd show up like this.",recall
"So, he would have the four hours and I'd come on set",recall
"and go, ""Hey, all right, Joel, what's up?!""",recall
"He'd go, ""Mm-mm. No.""",recall
"So, yeah, I mean, I felt bad taking most of the money.",relax.atmosphere
LAUGHTER,use.social.convention
Yeah.,give.statement
APPLAUSE,use.social.convention
"You've got so many movies in the pipeline,",give.opinion
lots of things coming out -,give.opinion
"but, I notice, still no sign",give.opinion
of the Fresh Prince Of Bel Air reboot that everyone wants.,give.opinion
CHEERING,use.social.convention
They do! Man...,give.opinion
Make it for them!,give.statement
"I'd have to be Uncle Phil, and that I wouldn't like.",relax.atmosphere
I'm going to be 50.,give.statement
"""Come on, Aunt Viv! I'm 50. I can't go out on my own?""",relax.atmosphere
"No, you did...",give.statement
"You did drive the fans wild, because you posted this.",give.opinion
"AUDIENCE: Whoo! Oh, yeah.",use.social.convention
"Did you bump into them, or...was it a reunion?",open.question
"So, every year, Karyn has a charitable event,",respond.agree
"and she hosts a lunch with the cast of the Fresh Prince,",give.statement
"so we do that every year, and it will be 10 or 12 people",give.statement
from around the world that have won this lunch... Wow.,give.statement
"..so, that's in Los Angeles, and the people flew in",give.statement
and we have the lunch with the fans who gave the most to charity.,give.statement
And you mentioned you would play Uncle Phil.,give.statement
A weird thing happened. Mm-hm.,give.opinion
"You - I think you were in Africa, and you bungee jumped.",closed.question
"I bungee jumped, yes. OK. Some people filmed this",respond.agree
"and then you filmed the rest - so, here you are.",give.statement
"Yeah, I bungee jumped.",respond.agree
"So, there you go - and then you're filming yourself",give.statement
"on a GoPro or something... GoPro, yeah.",give.statement
..and people noticed that if you freeze-frame it,give.statement
at a certain point... Yes. ..you look remarkably like...,respond.agree
LAUGHTER,use.social.convention
"..James Avery! It's crazy, right?",give.opinion
Yes! Yeah.,respond.agree
"You are never bungee jumping again. Yeah, yeah!",relax.atmosphere
It's all the blood rushing to my head.,relax.atmosphere
"But that's really... Like, who's going through it frame by frame?",open.question
I love it.,give.statement
"Right, Jenna Coleman's Christmas treat for us",give.statement
"is Victoria, a Christmas special.",give.statement
It goes out on ITV on Christmas Day at 9pm -,give.statement
"and it's sort of perfect,",give.opinion
because so much of our Christmas came from Victoria... Uh-huh.,give.opinion
"..kind of that period. Yeah, from Albert, really,",respond.agree
"so it's before the Christmas tree was even in England,",give.statement
"so there's a lot of, like, why on earth would you bring a forest",recall
into your home for Christmas?,recall
"It is an odd thing, but it's lovely. It is an odd thing!",give.opinion
"Yeah, and it was before Christmas cards were invented,",give.statement
so you kind of see Christmas,give.statement
becoming the Christmas as we now know it. Got it.,give.statement
"So, you get that side of it, you get how they created Christmas,",give.statement
but there's also this -,give.statement
"and this is true, the story about her adopting the child.",give.statement
Yeah. Yeah.,give.statement
"So, Victoria got an unexpected Christmas gift,",give.statement
"which was a young girl called Sara Forbes,",give.statement
who was going to be sacrificed,give.statement
"and then got sent over to Victoria as a gift,",give.statement
and Victoria decided to educate her. Sacrificed?,give.statement
This was from Africa? Yeah. OK.,closed.question
King Ghezo. King Ghezo. Of Dahomey.,respond.agree
"To... Yeah... So, he was going to sacrifice her,",relax.atmosphere
"and then thought, ""Oh, no, Victoria would love this.""",relax.atmosphere
"I mean, it was unexpected!",give.statement
And so difficult to wrap! Yeah.,relax.atmosphere
"There is a line, where she thinks it's going to be a baby elephant,",respond.agree
"and then she arrives into the room and there is complete confusion,",give.statement
"because you're giving me a little girl,",give.statement
and she developed this amazing relationship with this young girl,give.statement
"throughout her entire life,",give.statement
"and educates her, she becomes part of the court...",give.statement
Did you know the story? No!,closed.question
I had never heard this story. Never heard this story.,respond.deny
"Extraordinary. Well, we're going to watch a clip.",give.opinion
"So, this is you and the girl, and...",give.statement
Is there anything else you need to tell us about this?,open.question
"You didn't sacrifice her, though, right? No, no, no.",relax.atmosphere
Because I'm not going to watch that!,relax.atmosphere
She lived a happy life.,give.statement
Good. Well... Merry Christmas.,relax.atmosphere
"Here you all are, in a very Christmassy scene.",give.statement
"Victoria, do you know that my mother, she taught me how to skate?",closed.question
Do you remember?,closed.question
"Ja. Ja, I remember.",respond.agree
"Perhaps one day, we could teach the Queen ourselves.",give.statement
"Harriet, may I? No, thank you.",respond.deny
Are you coming?,closed.question
"Would you like to try skating, Sara?",closed.question
"No, thank you, Your Majesty.",respond.deny
But it's quite safe.,give.opinion
I promise. Victoria! Hurry! We are waiting.,give.statement
I'm going to stay here with Sara.,respond.deny
Would you like to build a snowman?,closed.question
A snowman?,open.question
I'll show you.,respond.agree
Awww!,use.social.convention
APPLAUSE,use.social.convention
It gets much more exciting!,give.opinion
"It does get exciting, yes.",give.opinion
Presumably you didn't film this in winter? No.,closed.question
"I mean, see... Because, apparently, I do a lot of Christmas specials,",deflection
"I'm in Christmas for, like, six months of the year.",relax.atmosphere
I've been having Christmas since July.,relax.atmosphere
Snow business. Really?,relax.atmosphere
And it's really hard to improvise in Victorian language,give.opinion
"about a snowman, I've discovered. Yeah.",give.opinion
"Yes, making small talk!",respond.agree
"The thing is, you just went from school to Emmerdale. Yeah.",give.statement
You didn't go to drama school in between. No.,give.statement
"Straight in? Yeah, I didn't know what I was doing.",respond.agree
"Because it is one of those weird jobs were people kind of think,",give.statement
"you learn it and then say it and that's the end of it,",give.statement
but there's a lot of technical stuff.,give.opinion
"Yeah, there's like, ""Find your light,"" and you'd be like...",recall
"Yeah, there really is, ""Find my light...?""",recall
"You had a problem with marks, as well, hitting your mark. Oh, yeah.",open.question
"I could never hit a mark, because I'm not...",respond.agree
"I am a good multitasker, when you have to...",give.opinion
"I mean, throw in a prop and I'm totally lost... Yeah.",give.opinion
"..but it would always be like, ""Hit your mark,""",recall
and I did a couple of days on Captain America,recall
"and it was the first film I'd ever done,",recall
"and it was all, like, really big,",recall
and obviously the set-ups are massive,recall
"and all I remember, I had obviously not hit my mark,",recall
and I remember feeling someone like slap the bottom of my leg.,recall
"""Go to your mark.""",recall
"""You in MY mark, girl!",relax.atmosphere
"""That's my mark, move!""",relax.atmosphere
What was the thing on Doctor Who,open.question
"when it was another actor, I think it was his first job?",open.question
"Oh, yeah.",respond.agree
It was his first job out of drama school,give.statement
"and you know what a sausage is, right?",closed.question
A sausage? Yeah. Like a...,respond.agree
LAUGHTER,use.social.convention
You notice that she didn't ask me!,relax.atmosphere
I'm jealous!,relax.atmosphere
"Yeah, like...",relax.atmosphere
"So, it's like 11 o'clock... Uh-huh.",recall
Do you call it something different in America?,closed.question
We probably call it something different.,respond.agree
"Unless it's, like, meat, then we... OK.",relax.atmosphere
..we probably call it something different.,respond.agree
There's obviously a big confusion somewhere... Yeah.,relax.atmosphere
"..but...so, we call marks that are raised, here, a sausage.",give.statement
"Yeah, we don't say that in the States. No?",respond.agree
"So, it's called a sausage mark.",give.statement
Just don't do that. A sausage mark.,give.statement
"No, we call them raised marks. Really?",give.statement
LAUGHTER Interesting.,use.social.convention
"Anyway, it was this poor guy's first day,",recall
and it was like 11 o'clock and I was like -,recall
"we were setting up a shot, and I was like, ""Can I get a sausage, please?""",recall
"And I paid no attention, and then someone came and brought a mark",recall
"and this guy was like, ""Oh, I'm so relieved.""",recall
"He was like, ""I literally thought it was like 11 o'clock",recall
"""and time for Jenna's morning sausage!""",recall
Being a diva.,relax.atmosphere
Sausage! Sausage!,relax.atmosphere
"Sausage, please. ""Oh, man, listen,",relax.atmosphere
"""that girl don't get her 11 o'clock sausage...",relax.atmosphere
"""We ain't going to shoot nothing today!""",relax.atmosphere
"Jamie Oliver, famously, you were plucked from obscurity,",give.opinion
"you were just a sous chef, and then you got your own series.",give.statement
"Now, I don't think I knew this - so, series one didn't go that well.",give.statement
"Well, not the series. The programme one.",respond.deny
Don't write me whole series off!,relax.atmosphere
LAUGHTER,use.social.convention
"Yeah, it was the first one -",respond.agree
"I actually never wanted to be on telly,",give.opinion
so we did the first show and it was terrible.,give.opinion
"It was really, really bad.",give.opinion
AUDIENCE: Awww!,use.social.convention
"That was me before my face grew into my lips, all right?",relax.atmosphere
LAUGHTER,use.social.convention
"But, no, basically it was really bad, and I think...",give.opinion
"It's an interesting lesson to be learned about mistakes, or failure,",give.opinion
"or however you want to look at it, because then we went back,",give.opinion
we had to re-budget the programmes,recall
"and, actually, that's when I started to look off camera,",recall
"talk to the director, have a conversation,",recall
"be myself, cut the music to the music of my record collection",recall
"at home, and then be a bit more documentary about it,",recall
"so, really, if it hadn't been for that massive terrible programme",give.opinion
that you have never and will never see...,give.opinion
"It must exist somewhere, has it not been...?",open.question
"There's probably some in the archives,",respond.agree
"but I've just got a feeling that... It was shot on tape,",give.opinion
"which is terrible, and it has aged badly",give.opinion
"and, also, there has been a fire",relax.atmosphere
at the production company that owned it... That you started!,relax.atmosphere
LAUGHTER,use.social.convention
"You know, I'm the same, with the words and the sort of lingo",relax.atmosphere
"that goes with filming, they used to shout, ""Speed!""",relax.atmosphere
"And I'm just going, ""What is this drug problem?""",relax.atmosphere
LAUGHTER,use.social.convention
"""Check the gate!""",relax.atmosphere
"""We haven't got a gate!",relax.atmosphere
"""There's no garden!""",relax.atmosphere
"Now, here's the thing, the Fresh Prince,",give.statement
that was your very first acting job. Yeah.,give.statement
You had never acted before. Never acted.,give.statement
"So, presumably, you were doing that thing of just learning on set?",closed.question
"Yes, absolutely.",respond.agree
"Yeah, that was... I was very, very focused on being successful,",respond.agree
"so I learned the entire script and I learned everybody else's line,",give.statement
"and I knew everything about it,",give.opinion
"and, if you watch, like, the first four or five episodes,",give.statement
"you can see, I'm mouthing the other people's lines.",give.statement
No way! Yeah.,relax.atmosphere
"I would be, like...",recall
"If you said, ""No way,"" I would be like...",recall
"I was like, ""Oh, my God!""",recall
"It's, like, people... Nobody noticed,",give.opinion
because psychologically you're looking at the person,give.opinion
"who's talking, but it is terrible.",give.opinion
I can't bear to watch.,give.opinion
It makes me want to go back and watch them now. I know!,give.opinion
"Yeah. Going even further back,",respond.agree
"before the acting, before Fresh Prince, there was music.",give.statement
"There was music, yes.",respond.agree
I was going through my record collection only the other day...,give.statement
"Oh, no. Tragedy. Oh, no.",relax.atmosphere
"..and this... Wow. ..unbelievably, this is 30 years old.",give.opinion
That is 30 years old. This is 30 years old.,give.statement
Wow. DJ Jazzy Jeff and Fresh Prince.,give.statement
CHEERING AND APPLAUSE,use.social.convention
How old... How old was Will Smith here?,open.question
"Yeah, I was 18 in that picture.",respond.agree
"Like, look at my face - like, what am I trying to accomplish?",relax.atmosphere
LAUGHTER,use.social.convention
"I tell you what,",relax.atmosphere
"you want your 11 o'clock sausage, that's what you want!",relax.atmosphere
LAUGHTER,use.social.convention
You had a hit record while you were still in high school.,give.statement
"Yeah, in high school. Yeah.",respond.agree
The single from this album is called Girls Ain't Nothing But Trouble.,give.statement
Yeah! And...,give.statement
"It's not true, it's not true.",relax.atmosphere
But it was the single that came out in the last month,give.statement
"I was in high school, so I was a senior",recall
and had a record out for probably about 30 days.,recall
That is too much power for one man to have!,relax.atmosphere
"Didn't they play it at your prom? Yeah, it was...",closed.question
"That's awkward, though, like, when you're in a place",respond.agree
"and, like, DJs think that's cool,",give.opinion
if you come in and they put your song on.,give.opinion
It just makes you look stupid.,give.opinion
"You can't be, like, ""Whoo!""",relax.atmosphere
"All of a sudden, you've got to be like, ""Yeah, yeah...""",relax.atmosphere
"And everyone is looking at you, like...",relax.atmosphere
"""Is he gon' sing? Is he gon' sing?""",recall
It's an awkward moment.,give.opinion
"DJs shouldn't do that. Oh, very good.",give.opinion
"Now, Jamie Oliver's latest -",give.statement
"it's 5 Ingredients, Quick And Easy Food.",give.statement
It's out now.,give.statement
CHEERING AND APPLAUSE Now... Yeah. Yes!,use.social.convention
"It's the fastest selling book I have ever done,",give.statement
"and that just means it's resonating,",give.opinion
and I am shocked at how the young kids have got into it,give.opinion
because it's kind of like cooking by numbers.,give.opinion
"It's, like, making Lego or something, you know? Yeah.",give.opinion
"And, actually, I even got jumped on...",give.opinion
"..not jumped on, but I got complimented by an 80-year-old woman",give.opinion
"the other day, just saying - and she was clearly a good cook -",give.opinion
"just saying that she was using it, and her shopping was easier,",give.opinion
because it was less stuff to buy and all that kind of stuff. Yeah.,give.opinion
"OK, so, obviously, you could have made it six ingredients.",give.statement
Yeah. Or maybe you could have made it four...,respond.agree
"I wrote it for four, originally. OK.",give.statement
"Yeah, and then I kind of... You get back and you look...",give.statement
Writing a book is quite an emotional thing for me,give.statement
"for lots of strange reasons, it's quite a thing,",give.statement
"and I'd done a good job on four,",give.opinion
"but then I didn't feel I was giving the British public what they needed,",give.opinion
"which was a bit of magic, so the fifth is the magic number,",give.opinion
"you can give it a little bit of a spank. Ooh, ooh!",give.opinion
Look at this!,give.statement
"Oh, you had a little flick of the wrist, there, bam!",relax.atmosphere
Bam!,relax.atmosphere
"Look, there's your five ingredients, that's all that you need.",give.opinion
"Boom, boom, boom, boom, boom, ba-doom. Yeah. It's so clever.",relax.atmosphere
"And that's the 11 o'clock sausage, right down at the bottom, there.",relax.atmosphere
Yes. LAUGHTER,use.social.convention
A little bit of chorizo in there.,relax.atmosphere
It's smoky.,relax.atmosphere
"I have to say, I have overheard people talking about this book,",give.statement
people you would never think in a million years,give.statement
"would be buying a cookbook,",give.statement
"but everyone just believes, ""Five ingredients,",recall
"""surely I could do that.""",recall
I think it's in tune with the public now,give.opinion
and the way we work and we live now. Let me see!,give.statement
"Oh, yeah, have a look. Have a look. Yeah, have a look.",respond.agree
It's delicious.,give.opinion
"Not the book, obviously. You look so handsome!",relax.atmosphere
Thank you very much.,use.social.convention
Photoshop!,relax.atmosphere
"Will Smith, do you cook?",closed.question
Would you ever sit down and cook?,closed.question
I do now.,relax.atmosphere
"Only five ingredients, I can do this!",give.opinion
"Jenna, do you cook?",closed.question
"Um, I... I... No. No.",respond.deny
LAUGHTER,use.social.convention
I'm a hazard cook.,give.statement
"If you have to say ""I"" four times...",relax.atmosphere
"""I... I... I..."" No.",relax.atmosphere
"No, you don't, you don't. No.",relax.atmosphere
Can you sign this for me?,closed.question
"Mm-hm. I mean... I haven't got a pen, but I could do blood.",relax.atmosphere
You'd do blood? For Will Smith...,closed.question
"Actually, you know, I'm good.",relax.atmosphere
"We should mention, Jamie's other holiday fare",give.statement
"is the latest edition of Jamie & Jimmy's Friday Night Feast,",give.statement
it continues next Friday on Channel 4 at 8pm.,give.statement
"Whoo! Yeah. Oh, sorry!",relax.atmosphere
"Let's have a look at a clip, here we go.",give.statement
"You only have to do this, like, once or twice a year.",give.statement
You can make a batch and freeze it. Yeah.,give.statement
"And when you come back from a gig, a few prawns...",give.statement
You think I'm going to do this when I get home? I hope so!,closed.question
"It's never going to happen, is it? No.",respond.deny
"I'll be doing this, ""Hello, is that the Thai takeaway?"" Yeah.",relax.atmosphere
LAUGHTER,use.social.convention
"Four, lemon grass...",give.statement
..and for that... Ooh!,give.statement
..we are going to give it a little spank.,give.statement
"Did you just spank the lemon grass? Yes, I did.",closed.question
"That's the name of my new band, actually.",relax.atmosphere
APPLAUSE Not a lot of cooking.,use.social.convention
There was a little.,give.opinion
And you do... You film at the end of Southend Pier.,give.statement
"Yeah, it's a mile and a quarter out to sea, you know,",respond.agree
"you guys are coming in next year, thanks for confirming that.",relax.atmosphere
"You do get great guests, though.",closed.question
"We did get great guests,",respond.agree
"but, historically, it has always been people that are real foodies,",give.statement
that's why they would come out... Right.,give.statement
"..because it's an hour outside of London,",give.statement
"but it is a different interview, a different vibe,",give.opinion
"to cook with someone is quite a precious thing,",give.opinion
"and you're just sort of tuning in to memories, moments,",give.opinion
"and we had a really nice mix of actors and singers and all sorts,",give.statement
"but this year, I did get Luke Skywalker, Mark Hamill.",give.statement
"Oh! Yes! And that was a moment for me,",give.statement
because obviously he was a big part of my childhood.,give.statement
Yeah. You are a proper Star Wars fan.,give.statement
"I am a proper... As is Jimmy, so we were kind of fighting -",respond.agree
"we were trying to get the lines in,",recall
"and steal each other's lines to ask the question, but...",recall
"..it was the most brilliant, and one of the hardest interviews",give.opinion
"I have ever done, because he's got so many stories,",give.statement
"so, like, they're just tangenting all over the place... Yeah.",give.statement
"..and me and Jim were trying to bring it back,",give.statement
but it wasn't happening - but it was great.,give.statement
It's like you can't get a word in edgewise.,give.statement
"Mm-hm. Yeah, I know how that feels.",relax.atmosphere
LAUGHTER,use.social.convention
"Now, if you think Jamie Oliver's exaggerating",give.statement
"about how much of a fan he is of Star Wars, here's a picture...",give.statement
"This is you, this is Jamie taking a couple of his kids to school.",give.statement
"Oh, yes!",respond.agree
LAUGHTER,use.social.convention
Yeah! And that's a proper...,give.statement
"Just look how proud Poppy and Daisy are, they love it.",relax.atmosphere
It's tough being a teenager's dad.,give.opinion
"I am trying to get better at it, and I went to parents evening",respond.agree
"and...""Stop being embarrassing,""",recall
"""I'm only breathing!""",recall
"So, after that, I'm trying to calibrate my embarrassingness",give.statement
"and that, I felt, was appropriate.",give.opinion
