U,L
This is a three-member group named Seo Taiji and Boys.,use.social.convention
Please welcome them.,use.social.convention
Powerful rhythm and flash dances,give.opinion
are the hallmarks of Seo Taiji's music.,give.opinion
"They sing well, look cool, and dance well.",give.opinion
The interest in Korean pop music is unusually high from foreigners.,give.statement
A few big music agencies,give.statement
began making these polished groups,give.statement
"of singers, rappers, and dancers.",give.statement
One of the heavy-weight companies,use.social.convention
is YG Entertainment.,use.social.convention
"…responsible for the insanely viral ""Gangnam Style.""",give.statement
The industry brings in billions of dollars a year.,give.statement
Grooming these singers is an industry all in itself.,give.statement
Trainees can start as young as 11 years old.,give.statement
They're raised together. They train together.,give.statement
Perfecting every pitch.,give.opinion
Mastering every move.,give.opinion
Stakes are high.,give.opinion
Some make their debut after just a few months' training.,give.statement
"For others, it could be up to a decade.",give.statement
Many never make it to debut at all.,give.statement
How many do I have to pick?,open.question
"Preparing for a new album, that's definitely fun,",give.opinion
"'cause it's like trying to come up with something new,",give.opinion
"but fittings like this,",give.opinion
"it is one of the biggest, like, creative parts that we do.",give.opinion
"Oh, Jisoo!",use.social.convention
- Wow… - Oh là là.,use.social.convention
You look naturally sexy!,give.opinion
- Really! - You can't help yourself!,give.opinion
"If we wear something, we all try to see how it fits as a group,",give.opinion
"but that's... Well, it's case by case.",give.opinion
It takes a long time.,give.opinion
Shouldn't we make it a bit tighter? What do you think?,open.question
#NAME?,x
Okay.,use.social.convention
Lalisa. Oh là là!,use.social.convention
Lisa! Lalisa!,use.social.convention
Oh là là.,use.social.convention
Lisa has diverse tastes.,give.opinion
#NAME?,x
It's so hard to define style.,give.opinion
"I don't think there's any, like, boundaries within that.",give.opinion
"We don't go, ""This is Korean, and this is Western. This is Asian.""",quoted.speech
I think fashion is really just international.,give.opinion
"The more that there aren't any boundaries, I think that's when you can get creative.",give.opinion
"And since we do crazy choreography on stage,",give.opinion
"it all has to be really engineered, basically.",give.opinion
Make sure nothing flops out anywhere.,relax.atmosphere
Yeah.,respond.agree
- What's this? - Coachella.,open.question
"I missed my note at the ""eh.""",give.opinion
"See, this is why we can't watch our old footage.",give.opinion
"We're like, ""You missed your note at the 'eh',""",recall
"and, ""I should've gone slower at this part of the choreography,",recall
"but I did it too quickly.""",recall
I missed my note. That wasn't good.,give.opinion
We were so nervous…,give.opinion
"Yeah. If anything, it's stressful.",respond.agree
"Sometimes if something's not working, or I'm not doing my best performance,",give.opinion
it can be stressful.,give.opinion
"Compared to other stages,",give.opinion
it was much more overwhelming because we were so nervous.,give.opinion
"For us, it was our first time in a country we weren't familiar with.",give.opinion
I used to dream of that day when we were trainees.,give.opinion
This is what we wanted.,give.opinion
#NAME?,x
I always avoid interviews or any questions about me,give.opinion
"because I would rather not talk about myself, but…",give.opinion
♪ Used to be your girl Now I'm used to being the GOAT ♪,misc
♪ You're sittin' on your feelings I'm sittin' on my throne ♪,misc
♪ I ain't got no time For the troubles in your eyes ♪,misc
"♪ This time I'm only lookin' at Me, myself, and I ♪",misc
♪ I'm going solo ♪,misc
Jennie's personality?,open.question
"At first, it was hard getting to know her,",give.opinion
"but once we became close,",give.opinion
"I could tell that she's very loyal, very sweet, and a lovely friend.",give.opinion
"I see her every day, so I'm used to her, and she's like my little sister.",give.opinion
"But when I see her on TV, I'm like, ""Ah, Jennie is a star,”",quoted.speech
but she's really down-to-earth.,give.opinion
You're doing so well.,give.opinion
She's my friend. One of few that I have.,give.opinion
Slowly.,give.statement
We're going to lift one leg up and do an arabesque.,give.statement
I'm always aching after tours and stuff.,give.opinion
"I feel like, out of all the members,",give.opinion
I'm always sick.,give.opinion
"You know, some days, just like every other human being,",give.opinion
you feel extra happy.,give.opinion
"And some other days, you're feeling down.",give.opinion
"Singing, dancing, and rapping, I always enjoy it all the time,",give.opinion
but we always have to be on stage,give.opinion
looking perfect and performing the same thing.,give.opinion
It's like working out for two hours every day.,give.opinion
It never gets easy.,give.opinion
"Gets harder, actually, 'cause you age.",give.opinion
"Ow, ow, ow, ow, ow.",relax.atmosphere
I was born in Korea.,give.statement
It's just me and my mom. I'm the only child.,give.statement
I was raised in Seoul until I was ten.,recall
"I went to Australia and New Zealand to travel with my mom,",recall
"and by the time we got to New Zealand,",recall
it was so nice and peaceful.,give.opinion
"She asked me, ""How do you feel about living here?""",recall
"And I said, ""Yeah, I would like that.""",recall
"So, from ten to 15, I was in New Zealand by myself.",recall
I never really got to spend so much time in the house with my mom…,recall
until recently.,recall
I did a homestay.,recall
"I got to just run around, learn so many things.",recall
I understand English,give.opinion
better than when I began.,give.opinion
"In the beginning, my friends helped me a lot",recall
and showed me their notes. Now I can do it by myself.,give.opinion
"They have classes in school to go out,",recall
"go camping, go learn instruments.",recall
"If you want, do art.",recall
Everything was up to you.,give.opinion
"Even if you're ten, you still got to make your own decisions.",give.opinion
That was very important for me to have at a young age.,give.opinion
That built me as who I am right now.,give.opinion
I am super shy.,give.opinion
I was one of those people where I can't even,give.opinion
order something on the phone.,give.opinion
"Like, I hated that.",give.opinion
Good work.,relax.atmosphere
Took me a while to get this far.,give.opinion
Ta-da!,relax.atmosphere
"When I turned 15, I was deciding whether I should move to America.",recall
"I went there, I checked the school out. Everything was kind of decided, like 80%.",recall
"And I came back to New Zealand to pack my stuff up,",recall
and that's when I realized I don't want to go to America,give.opinion
and do another study there by myself.,give.opinion
I actually want to become a singer. I don't know where it came from.,give.opinion
"As soon as I came back, I did an audition.",recall
"And luckily, I got in right away.",give.opinion
"I was like, ""Wow! These people are so in to it!""",recall
"""They know what they're doing."" I was like, ""Let's catch up.""",recall
That's all I had in mind.,give.opinion
♪ I only call you When it's half past five ♪,misc
♪ The only time that I can call you… ♪,misc
So pretty!,misc
♪ …love it when you touch me ♪,misc
"♪ Now feel me When I'm fucked up, that's the real me ♪",misc
"♪ When I'm fucked up, That's the real me, babe… ♪",misc
"Oh, that’s really long ago.",give.opinion
I used to do a lot of dark and strong songs.,give.opinion
"So I often wonder, ""What am I doing right now?""",recall
It's so different from what I do now.,give.opinion
Wow!,relax.atmosphere
- Your gestures! - You're always so cool.,give.opinion
"It's sad to say,",give.opinion
"the very first group of people that trained with me,",give.opinion
none of them are here with me right now.,give.opinion
"And as soon as Lisa came in,",give.opinion
that's when I thought…,give.opinion
"""Wow, there are people born to do this.""",recall
"♪ Uh, I'ma fall in love, baby ♪",misc
♪ You gon' finna catch me ♪,misc
"♪ Uh, give you all of this, baby ♪",misc
♪ Call me pretty and nasty ♪,misc
♪ 'Cause we gonna get it My love you can bet it on ♪,misc
"♪ Black, we gon' double The stack on them, whoa! ♪",misc
My role… I'm a rapper and also the lead dancer.,use.social.convention
Hello.,use.social.convention
"Oh, this is cute.",give.opinion
I love vintage clothes.,give.opinion
"So wherever I go,",give.opinion
"whether it be America or anywhere else,",give.opinion
I try to look for vintage shops.,give.opinion
"Oh, wow. Voilà!",relax.atmosphere
This is 1.1 million.,give.statement
"- And this is 320,000. - And this one?",closed.question
"That's 750,000.",respond.agree
This is 1.1 million?,closed.question
"Yes, because it's from the early '90s.",respond.agree
Oh!,relax.atmosphere
This is so cool!,give.opinion
Can I... Can I get this?,closed.question
My mom manages my finances.,give.statement
"She's gonna be like, ""No, Lisa, no. Stop shopping for now.""",recall
"She's always like that, but I don't really listen to her.",relax.atmosphere
"I'm sorry, Mom.",relax.atmosphere
Whoa!,relax.atmosphere
1997,give.statement
When I was born.,give.statement
I was born in Thailand.,give.statement
I was born in Buriram Province.,give.statement
Then I moved to Bangkok when I was three.,give.statement
"My auntie had a music group,",recall
"so they had mic stands, and I always played with them.",recall
I would lower it until it was the same height as me.,recall
Then I would just dance and sing to myself.,recall
That was how my mom knew I loved dancing.,give.opinion
So she signed me up for a course when I was in kindergarten.,recall
This is behind the scenes.,give.opinion
That was how it all began.,give.opinion
She signed me up to many contests…,recall
…dance competition and stuff.,recall
How long have you been practicing break dancing?,open.question
For a long time.,respond.agree
I participated in a contest. I was around 12 or 13 years old then.,recall
Then a talent scout told me to try singing and asked if I wanted to be a singer.,recall
Then I realized that I loved both singing and dancing.,recall
And YG happened to have an audition at the time.,recall
"So, I made a decision.",give.opinion
"Okay. I should try, for sure.",give.opinion
Is this an audition?,closed.question
How many layers are you wearing?,open.question
Why are you wearing pants on top too?,open.question
"- What is this? - Oh, wow!",open.question
#NAME?,x
Wow!,exclamation
You look so cool.,give.opinion
I'm trying so hard to be cool.,respond.agree
After the audition ended… …I waited for the call.,recall
I was waiting and waiting.,recall
I waited for the call.,recall
I waited for two months!,recall
"And then they called me. I was like, ""What? Is this possible?""",recall
I was a mama's girl.,give.opinion
"So, when I had to go to Korea without Mom,",recall
I felt that I had to take care of myself now.,recall
I was 14.,recall
Such a kid.,give.opinion
I didn't speak any Korean.,give.opinion
"I only knew how to say ""hello,"" so it really was a new start.",recall
"♪ I'm in the club High off purp', with some shades on… ♪",misc
"Fortunately, there was Jennie.",give.opinion
"♪ In the club High off purp', with some shades on… ♪",misc
She was the only one who could speak English,recall
among the trainees.,recall
I spoke English with her…,recall
"♪ J's on my feet, so get like me… ♪",misc
"…and if something were to happen, I would talk to her.",recall
That's it.,give.opinion
However you feel comfortable. Like…,give.opinion
You choose how to sing it because we're all doing it differently.,give.opinion
"♪ I'm ready for love, I'm ready for love ♪",misc
- ♪ I'm ready for love ♪ - ♪ I'm ready for love ♪,misc
#NAME?,x
A great thing with us,give.opinion
is everyone wants the best for the group as a whole.,give.opinion
"♪ I'm ready for love, I'm ready for love ♪",misc
That's cool. I'm happy with that.,give.opinion
Okay.,give.opinion
"Since we perform as a group,",give.opinion
we try to strike a balance,give.opinion
that works for everyone.,give.opinion
I think.,give.opinion
"♪ Oh, wait 'til I do what I do ♪",misc
♪ Hit you with that ddu-du ddu-du du ♪,misc
What's up? What's up?,use.social.convention
"Sit here, Jisoo.",give.statement
What do you think?,open.question
Do you think I'll be able to learn today?,closed.question
I think it’ll be nice to learn how to draw my eyebrows properly.,give.opinion
"If you show me, I'll follow it.",give.opinion
- Okay. - I'm learning from you today.,use.social.convention
Do you teach makeup like this too?,closed.question
#NAME?,x
- There are classes for that? - Of course!,respond.agree
I should've taken those classes then.,give.opinion
There are people who come to learn BLACKPINK makeup.,give.statement
#NAME?,x
"When I was younger,",recall
my relatives treated me like an outcast because I was ugly.,give.opinion
What?,relax.atmosphere
They called me a monkey.,recall
It's okay. You're the prettiest one now.,give.opinion
"I grew up in Sanbon in Gunpo city, Gyeonggi-do region.",recall
"I lived with my parents,",recall
"my sister, my brother, and my grandparents.",recall
I'm living a very different life,give.opinion
than the one I thought I'd be living.,give.opinion
I used to want to be a writer,recall
or a painter.,recall
"Although, I couldn't paint well.",give.opinion
And then I joined the drama club in 11th grade.,recall
Should I try acting?,recall
They were saying I should start auditioning for stuff,recall
because I needed the experience.,recall
My first audition was at YG.,recall
I didn't know much at all about YG,recall
before I arrived there the first day.,recall
It felt like something far removed from me.,recall
I never thought I'd actually be doing it for real.,give.opinion
How about now? Do you think I really lost my baby fat?,closed.question
"Back then, it was more baby-like here…",respond.agree
I guess I'll just have to eat ramen before I sleep tonight.,relax.atmosphere
Maybe then you'll get your old self back.,relax.atmosphere
"No, you're perfect right now.",give.opinion
"Anyways, you were like a baby back then.",give.opinion
"But you're different from back then, too.",give.opinion
You have your own shop!,give.statement
Who told you to open your own shop?,open.question
Say it! Who told you to?,relax.atmosphere
You did.,give.statement
It was my big plan.,relax.atmosphere
And I'm still planning big things.,give.opinion
"I think that there are very few who truly think,",give.opinion
"""This is what I have to do. This is my path.""",give.opinion
People like that are really lucky.,give.opinion
I don't think there are many like that.,give.opinion
I have a really hard time falling asleep.,give.opinion
I have a lot of thoughts running through my head.,give.opinion
"And singing is kind of like stress relief,",give.opinion
and everything just kind of makes sense when I'm doing this.,give.opinion
That's a really hard song.,give.opinion
I didn't think I could ever perfect that one.,give.opinion
"Sometimes, I actually have missed my trainee days.",give.opinion
"Because, back then, we were surrounded by music all the time.",give.opinion
"But these days we've got a lot of work,",give.opinion
so I actually have to make time for this.,give.opinion
"That's why it's always at night, when I'm supposed to be sleeping.",give.opinion
"Hi, girls and boys.",use.social.convention
I'm called Roseanne…,use.social.convention
and I just woke up.,give.statement
And welcome to Pajama News.,use.social.convention
I was born in New Zealand.,give.statement
And then I moved to Australia when I was eight.,recall
"Back then, I was always on the piano.",recall
"I'd like sit there, and I'd play this lullaby for myself,",recall
"but I'd be really sleepy, and I'd fall asleep,",recall
and then I'd put my chin on my knee.,recall
I went to church every Sunday and had a lot of Korean friends there.,recall
"But then at school, I was just a normal Australian kid.",give.opinion
"Congratulations, Rosé.",use.social.convention
And I think I enjoyed having two lives.,give.opinion
Kind of like Hannah Montana.,give.opinion
It's funny.,give.opinion
♪ If you look me in the eyes ♪,misc
♪ And catch a glimpse of heaven… ♪,misc
My dad saw on the news that YG was coming to Australia.,recall
"He was like, ""Rosé, do you wanna audition?""",recall
And I was so shocked.,recall
"I think I asked him, ""Do I like music? Do I?""",recall
"And he's like, ""Yeah, obviously.""",recall
"""You're gonna have to, you know, try do something about it.""",recall
"""Otherwise you're gonna be 25,",recall
"and you're gonna regret that you didn't try anything.""",recall
"♪ 'Cause even the stars, they burn ♪",misc
♪ Some even fall… ♪,misc
I was 16.,give.statement
"Then I went and auditioned, and then they called me,",recall
"and they were like, ""Can you fly to Korea within two months?""",recall
♪ God knows we're worth it ♪,misc
♪ And I won't give up ♪,misc
And then my whole life changed.,recall
I dropped out of school.,recall
"In Australia, I dropped out of school.",recall
I had never even imagined myself living apart from my family.,give.opinion
I hadn't even slept more than two weeks out of home.,give.opinion
"It was a really... Oh, my gosh. I'm gonna cry.",give.opinion
It was...,give.opinion
I'm gonna cry.,give.opinion
Yeah.,relax.atmosphere
"The first night in the dorm,",recall
they were all in the same room.,recall
Everybody was sleeping.,recall
"She brought a guitar from Australia, and I was like,",recall
"""Play something for us.""",recall
"It was us four. I don't even know why,",recall
but it was us four.,recall
We covered songs 'til morning.,recall
"All four of us, we were singing. Somebody was harmonizing.",recall
I think Jisoo was harmonizing.,recall
It was so funny. Can you believe it?,closed.question
My eyes.,give.statement
My eyes.,give.statement
- It's really pretty. - Wow!,give.opinion
"Here, stand here.",give.statement
"One, two…",misc
#NAME?,x
"After my Korean classes on the fifth floor,",recall
I took the elevators to the basement.,recall
And there was this girl,recall
"with short hair, tied back.",recall
It was kind of awkward.,give.opinion
- I was nervous. - I'm sure you were nervous.,respond.agree
So weird.,relax.atmosphere
"I was like, ""Oh! A new girl?""",recall
I was like… so wary of competition.,recall
"- Right. Competition. - Competition, it's so competitive.",give.opinion
Everything was gyeongjaeng at that time.,give.opinion
"She thought I was competition,",recall
and I was just really intimidated.,give.opinion
"Like, everybody is so good.",give.opinion
"We were the same age,",recall
and we had similar tastes.,give.opinion
"Since we both came from another country,",recall
we relied on each other when we were having a hard time.,recall
We become like two peas in a pod.,give.opinion
We were like genuine twins.,give.opinion
"We have so many days where we walk out,",recall
and we're wearing the same thing.,recall
"And during our days off, we'd always be together.",give.opinion
She started getting an Australian accent.,give.opinion
"See, she still has it sometimes.",give.opinion
No.,respond.deny
#NAME?,x
I don't even know how to say...,respond.deny
I never knew I would live in Korea.,give.opinion
"Then all of a sudden at 16, I'm like…",recall
Now Korea is my home.,give.opinion
Was it hard for you?,closed.question
Of course.,respond.agree
Even though you have me?,open.question
You?,open.question
You're not any help.,relax.atmosphere
I'm joking.,relax.atmosphere
"- Yeah, 'cause I grew up with a sister. - Mm.",give.opinion
Think about not having a sister.,give.opinion
But Lisa was there.,recall
"When I was having a hard time,",recall
"I'd look at Rosé, and she'd be the same.",recall
"I thought I was really sad, but I'd look at you, and I'd go, ""Okay.""",recall
I think what makes K-pop K-pop is the time that we spend as a trainee.,give.opinion
"We all live together, sort of like a boarding school,",recall
like a training version.,give.opinion
I think there were nine girls.,recall
"They were planning on creating a big group,",give.opinion
so they had a lot of girls there.,give.opinion
They need you to be at their standard,give.opinion
in every single subject.,give.opinion
"For me, there were so many lessons in the beginning.",recall
I took three to four dancing lessons a day and practiced.,recall
I had vocal lessons from two to three teachers.,recall
It was a rough time.,give.opinion
"We'd get a day off every fortnight,",recall
and then practice again for another 13 days.,recall
So 14 hours a day just training.,recall
"♪ Look at y'all lookin' ass hittas Stop lookin' at my ass, ass hittas… ♪",misc
"It's not easy,",give.opinion
the repetition.,give.statement
"But at such a young age, they are able to absorb all the techniques and the tools",give.opinion
that they need for their next ten years.,give.opinion
There's this basic routine you have to learn in dancing.,give.opinion
"Jennie was like, ""The first thing you have to learn is that,",recall
"and I'll just teach you the first moves.""",recall
"And she was like, ""Do this."" And I was like, ""I don't know how.""",recall
I can still remember the first day that you had a dance lesson.,recall
'Cause I'd never danced in my life.,give.opinion
It was cute.,give.opinion
"If you ask a 16-year-old to dance for the first time,",give.opinion
it's the funniest thing. I looked like a…,give.opinion
"And then after that, I got so angry at myself.",give.opinion
"I was like, ""I am going to become like Lisa.""",recall
'Cause Lisa was the dancer. She was like… She was at the top.,give.opinion
"At the end of every month, our boss and all the producers would come,",recall
"and we'd perform a solo song,",recall
"a group song, and a group choreography.",recall
"For that, we'd have to plan everything ourselves,",recall
but we each had a role.,recall
"If someone was in charge of vocals, we'd give them that role,",recall
but I always took on the role of the dancer.,recall
So I'd always design the choreography.,recall
Every month! Literally every month,recall
for five years.,recall
"After a monthly review, you would be graded.",give.statement
"You had those who got an A, those with Bs and those with Cs.",give.statement
I remember having to send,recall
a good friend of mine home every month,recall
because they got eliminated from the test.,recall
"There were so many rules, so many things to just be like,",give.opinion
"""Okay, they don't like this. They don't like that.""",recall
Everything that I did was wrong.,give.opinion
Being told that I'm not good at stuff face-to-face,give.opinion
and trying to keep everything together,give.opinion
when I hear those things…,give.opinion
It's really harsh.,give.opinion
It wasn't a very happy vibe.,give.opinion
"We're not allowed to drink, or smoke, or get a tattoo.",give.statement
I rarely went home and had to practice on the weekends.,give.statement
So my parents were quite upset and worried.,give.opinion
But they're not really…,give.opinion
"the protective, overbearing type,",give.opinion
"and they knew this was something that I had to do,",give.opinion
so they told me to stay strong and get it done.,give.opinion
I would always call my mom…,recall
"…and I would always call her and tell her, ""Mom, it's so hard.""",recall
"She'd say, ""Come home."" I'd say, ""No.""",recall
"My dad sent me, and he was like, ""Rosé, come home.""",recall
"He's like, ""We want you back home.""",recall
"And I hated that. I hated it whenever they would say, ""Come home.""",recall
That was the last thing I wanted to hear.,give.opinion
♪ High dive into frozen waves ♪,misc
♪ Where the past comes back to life… ♪,misc
"I started a bit later than the others,",give.opinion
so I was able to make memories with friends and go to school.,recall
I consider it a blessing now.,give.opinion
"♪ She told me, ""Don't worry about it"" … ♪",misc
"I don't regret spending time as a trainee, learning how to dance,",give.opinion
how to sing.,give.opinion
But one thing I wish is to maybe have lived at home,give.opinion
"until I was like 18, 19.",give.opinion
A lot of people make lots of memories as a high school student.,give.opinion
But I never had that.,give.opinion
Waiting was the hardest part.,give.opinion
I didn't think I would make it. I was on the verge of letting it go.,give.opinion
It was just days on end with just a bunch of girls,recall
not knowing where this was going.,give.opinion
"I'd ask myself,",give.opinion
"""Do you want to give up because it's not easy?""",recall
I knew I could do it.,give.opinion
"The tougher they treated me,",give.opinion
"I'm like, ""I'm gonna get through it,",recall
"and I'm gonna show them that I'm worth it.""",recall
♪ I should be more cynical And tell myself it's not okay… ♪,misc
"After all of this,",give.opinion
I'm not gonna go back without doing anything.,give.opinion
That would be embarrassing for me. That's what I thought.,recall
"♪ 'Cause your eyes, nose, lips Every look and every breath… ♪",misc
I had to keep fighting. I had to give it my all.,give.opinion
"""I don't care how long the training will take.""",recall
"""Bring it on! I don't care about that anymore!""",recall
"So, the CEO would put us",recall
into different groups every other month just to see.,recall
And there was a point where he pointed the four of us out.,recall
"We were evaluated together,",recall
and the four of us did screen tests,recall
and recorded demos together.,recall
It happened naturally.,give.opinion
We just clicked.,give.opinion
♪ Do you recall not long ago ♪,misc
♪ We would walk on the sidewalk… ♪,misc
We just got along so well.,give.opinion
"Because usually there's like, ""Oh, I wanna sing more.""",recall
"Or, ""Oh, I wanna be in the middle.""",recall
There's always those little fights going on in the groups.,give.opinion
"But when it was the four of us, it was clear what we were doing.",give.opinion
And that's what made it possible for us to be in a group.,give.opinion
"You know, four girls being in one group is not easy.",give.opinion
♪ …fire a gun All we need is someone to lean on… ♪,misc
"When you're working in a group,",give.opinion
everyone has their place and a role.,give.opinion
"And when everyone settles into their roles,",give.opinion
that's how synergy is born.,give.opinion
"That realization changed my outlook. When everyone is where they need to be,",give.opinion
big things can happen.,give.opinion
"♪ Blow a kiss, fire a gun All we need is somebody to lean on ♪",misc
"When I first came in the picture, there were seven, eight, nine girls.",recall
"Then we started cutting some songs,",recall
"and sonically, whatever that sounded the best.",give.opinion
"The four girls right now, the combination.",give.opinion
"And of course you start looking at their individuality,",give.opinion
like their character.,give.opinion
The four of them just felt right.,give.opinion
Teddy felt like a CEO to us.,give.opinion
If somebody did something with Teddy or met with Teddy…,give.opinion
…it was considered to be a big deal.,give.opinion
I didn't know much about him.,recall
I knew he was a 1TYM member.,give.statement
"It's a different time,",recall
and I just wanted to become someone that I needed when I was young.,give.opinion
"I didn't have somebody that's a little more outside looking in,",give.opinion
telling me where to go.,give.opinion
The first time we met was when...,recall
When I was a trainee.,recall
I was so nervous.,give.opinion
I couldn't really talk to him.,give.opinion
Meeting you was like the final stage of the debut.,give.opinion
"You were the final boss. If we meet you, we get to debut.",give.opinion
You're right.,respond.agree
"Oppa, do you remember…",open.question
"how we had to record that whistling sound 1,000 times?",closed.question
That I'll never forget.,respond.agree
I cannot forget that.,respond.agree
"And we almost didn't come out with ""Whistle"" for our debut song, but...",give.opinion
Too many people thought it was risky.,give.opinion
"But last minute, we were like, ""It has to be that one.""",recall
"'Cause it has this weird country vibe to it,",give.opinion
and it's super minimal.,give.opinion
It just sounded too empty for a lot of people.,give.opinion
"Most people were against it. We just pushed forward, whatever.",recall
"Hey, you know that photo there?",open.question
That's our very first photo session as BLACKPINK.,give.statement
Yeah.,respond.agree
It's oppa's favorite photo.,give.opinion
