U,L
"you've got superpowers, so, Aquaman, water-based,",give.statement
"can breathe underwater, presumably?",closed.question
Yes.,respond.agree
But what else can he do?,closed.question
He can command the ocean.,respond.agree
"He can, you know, I basically talk to fish!",give.statement
"If you wanted me to, I don't know, make you sushi, I can do that.",relax.atmosphere
"If we are next to water, but the hand out.",relax.atmosphere
Is that a superhero quality?,closed.question
It sounds like Jonestown for fish!,relax.atmosphere
He's got super-strength and...,give.statement
That's good.,relax.atmosphere
Bullet-proof.,give.statement
That's nice.,relax.atmosphere
Why would you put bullet-proof third after home-made sushi super quickly?,relax.atmosphere
And you've got your...,relax.atmosphere
"Hang on, it's a...",give.statement
Quindent.,give.statement
Quindent.,give.statement
Quindent.,give.statement
"Not the trident yet, we don't get the trident until a bit later.",relax.atmosphere
Next movie.,relax.atmosphere
I think the quindent is back there.,give.statement
Is this the real quindent from the movie?,closed.question
CHEERING,use.social.convention
"Good reaction to a fork, well done!",relax.atmosphere
Is it heavy?,closed.question
No.,respond.deny
Can I have a...,give.statement
This one's the nice light one.,give.statement
"See, I can do that.",give.statement
Aquawoman.,give.statement
I could make sushi quicker!,relax.atmosphere
Can I do something with it?,closed.question
"Yeah, go on, but don't hurt anybody.",respond.agree
I do break a lot of these.,give.statement
OK.,give.statement
Is it still in one piece?,closed.question
"Still in one piece, let's see if I can get it right.",give.statement
CHEERING,use.social.convention
We've got a clip.,give.statement
Because Batman is putting together the Justice League.,give.statement
"Yes, Batman and Wonder Woman.",respond.agree
Batman's not known for playing well with others and obviously,give.statement
"the world's in peril, Wonder Woman helps get these other",give.statement
characters with superpowers to save the world and come together,give.statement
to save it.,give.statement
This is Batman trying to get you involved.,give.statement
So let me get this straight.,give.statement
"You do it stressed like a bat, like an actual bat?",closed.question
It worked for 20 years in Gotham.,respond.agree
"If the fight comes, we'll need you.",give.opinion
"Don't count on it, Batman.",respond.deny
Why not?,closed.question
Because I don't like you coming here digging into my business,give.statement
and getting into my life.,give.statement
"People from Atlantis tell me to do this, now you say do that.",give.statement
I want to be left alone.,give.statement
"The way to help these people out here in the middle of nowhere,",give.statement
so you can just leave?,closed.question
I help them because no one else does.,respond.deny
"You want to protect them, you need to work with me.",give.statement
Strongman is strongest alone.,give.statement
You ever heard that?,closed.question
That's not a saying.,respond.deny
That's the opposite of what the saying is.,give.statement
Doesn't mean I'm wrong.,give.opinion
You ever hear of Superman?,closed.question
He died fighting next to me.,give.statement
My point exactly.,give.statement
It's ancient history.,give.statement
"Mankind's melting the polar ice caps, destroying the ecosystem,",give.statement
they had it coming?,closed.question
"Hey, I don't mind if the oceans rise.",give.statement
How about if they boil?,closed.question
Dress like a bat.,deflection
"You're out of your mind, Bruce Wayne.",give.opinion
Ooh!,use.social.convention
Good.,use.social.convention
That's actually Iceland.,give.statement
That's Iceland.,respond.agree
"So that's cold, that water.",give.statement
"Yeah, that was cold.",respond.agree
It doesn't that like it but that was cold.,give.statement
You do look very relaxed.,give.opinion
But were you wearing a thermal thing?,closed.question
"Yeah, you know, because I was out there for a while so they have",respond.agree
a very thin wet suit that you put on so you don't freeze to death.,give.statement
"OK, that's good!",relax.atmosphere
"They have a crane shot, they went out in front of me",recall
"and I was walking out, if you have a wet suit on,",recall
the air gets trapped in there.,recall
Just walking out and the bubbles start coming up and right,recall
"when he gets to the level where it's at, these bubbles come up.",recall
Everyone thought I'd farted.,recall
The camera's right there and I started giggling,recall
because of the bubbles.,recall
And then I opened it up to let the air out and then,recall
all of the cold went in!,recall
So my reaction was like ha ha...ooh ooh!,recall
LAUGHTER,use.social.convention
Many emotions.,relax.atmosphere
"Not to dwell on this picture too much, but some",give.statement
of these tattoos are real?,closed.question
"Zack had the idea, he wanted to put my tattoo, my family crest,",respond.agree
he wanted to put it everywhere.,give.statement
"Oh, OK.",relax.atmosphere
"These are just, are they...?",closed.question
"They are like stickers, it takes quite a bit,",respond.agree
it's about an hour and a half make-up to put them on.,give.statement
There's like 20 pieces they have to put on and it takes a long,give.statement
time to get them off.,give.statement
It's the same in Sense and Sensibility!,relax.atmosphere
LAUGHTER,use.social.convention
Recently you celebrated your birthday on the set...,give.statement
You've already finished the stand-alone Aquaman movie.,give.statement
Two weeks ago I just finished Aquaman.,recall
Wow.,relax.atmosphere
That's in Australia.,give.statement
Here you all are celebrating your birthday.,give.statement
"So this is your family, I mean, not all of them.",give.statement
I think the ones at the front are your family.,give.statement
Yes.,respond.agree
"My babies, that's Wolf and Lola.",give.statement
Because you live on a ranch?,closed.question
"Yes, we have around five, six acres in California,",respond.agree
and a bunch of animals.,give.statement
Nice.,relax.atmosphere
"It's kind of nice, because there is no service,",give.opinion
so we don't have a lot of TV so I don't get to see much,give.statement
"but we got to see the movie lately, which was phenomenal.",give.opinion
"Because I've never been able to show my kids,",give.statement
"they've never seen the Wizard of Oz, so I was worried, coming into it,",give.statement
showing them Justice League.,give.statement
"But it was amazing, my kids can't watch anything that I'm in.",give.opinion
My grandmother can't watch anything.,give.statement
"I'm like, don't watch that one, you're going",recall
to want to skip that one.,recall
Eventually I'm going to do something you're going to be able to watch.,recall
It was really amazing to be able to watch.,give.opinion
"At least they could, if they wanted to.",give.statement
"They might want to, but mine don't even want to watch me!",relax.atmosphere
I begged them to.,relax.atmosphere
They are sitting there watching Dino Trucks.,give.statement
"I say, no!",recall
What about one of daddy's films?,closed.question
"Shove in, lovely films like the Pirates cartoon.",recall
You can't get funnier or nicer than that.,relax.atmosphere
I shove it in the DVD and there are tears and tantrums.,recall
Back to Dino Trucks.,recall
"I have to say, Dino Trucks is pretty good!",give.opinion
"In terms of being a parent, Sarah Millican, you decided quite early",give.statement
this was not for you.,give.statement
"Yeah, I don't like kids, no offence!",respond.agree
I'm sure yours are lovely but I'm glad,relax.atmosphere
they're not here!,relax.atmosphere
LAUGHTER,use.social.convention
"I was on holiday, we went on two",recall
"holidays abroad when I was a kid, Malta when I was four and Spain when",recall
I was eight.,recall
"And when we were in Spain when I was eight, my present I",recall
got on holiday was a baby doll.,recall
But it was like this.,recall
It was giant.,recall
And I remember having an inkling then,recall
"like what childbirth was, I knew that it",recall
came out of a part of the,recall
woman and I thought no!,recall
I knew there was no hole on me that would ever,relax.atmosphere
manage that!,relax.atmosphere
LAUGHTER,use.social.convention
And the fun thing about the baby,recall
"doll was that it had a dummy, you took it out and it cried",recall
and you put it back in and the baby stopped,recall
crying.,recall
Brilliant.,relax.atmosphere
"This one particular night, you know people,",recall
women often think that the day they became a woman was the day that,recall
their period started.,recall
Not for me.,relax.atmosphere
On this one night we lost the dummy so the baby was constantly,recall
crying.,recall
And I was bitten on the nipple by a mosquito.,recall
And it grew an actual boob.,recall
LAUGHTER,use.social.convention
So I think that's the night I became a,recall
woman because I was eight but I wore a bra and my,recall
baby would not shut the,recall
fuck up!,recall
APPLAUSE,use.social.convention
"Hey, everyone, Sarah Millican has",give.statement
written a book!,give.statement
APPLAUSE,use.social.convention
"A really successful book, How To Be Champion.",give.opinion
You were number one in the Sunday Times bestseller list.,give.statement
I know!,respond.agree
Which must be such a thrill.,give.opinion
It was ridiculous.,respond.agree
I don't know why it was but I'm really pleased it,give.statement
was.,give.statement
Of course.,respond.agree
"It's a memoir, it's the story of your life, but it also",give.statement
contains advice.,give.statement
And some of it's funny advice but some of it's real,give.statement
advice.,give.statement
"I just decided, there's something really arrogant about",respond.agree
"writing an autobiography because you just think,",give.opinion
"it's really odd to say to people, well, I'm assuming you",recall
all want to know all about me!,recall
"And people are, not really!",recall
"So I decided, because I'm quite practical",give.statement
"and I like to fix things, if I have problems I",give.statement
like to work out how to,give.statement
make them better.,give.statement
"And I thought, I wonder if some of the things that",give.statement
have helped me might help other people.,give.statement
And it's interesting because some of the people who have sent me,recall
"messages who have read it and enjoy it, which is great, have like",recall
"skipped the divorce chapter, because they're happily married!",recall
And I think that's adorable but I hope they put,relax.atmosphere
that book on the shelf and they take it back out in a few years' time.,relax.atmosphere
LAUGHTER,use.social.convention
When they might need it.,relax.atmosphere
You never know!,relax.atmosphere
It's a keeper!,relax.atmosphere
It's like a reference book really.,relax.atmosphere
And I don't want to misrepresent the book in any,give.statement
way because it is a really funny book and there's lots of really,give.opinion
"great stories, but you also, I came away with the impression of someone",give.statement
who struggles a bit with some of the aspects of your,give.statement
success and of your fame.,give.statement
"Yeah, I'm quite shy generally so people don't really understand",respond.agree
how you can stand in front of an audience and be shy.,give.statement
But it's because there's a gap!,give.statement
I'm on the stage and there over there and all,give.statement
listening and looking at me which is what I like.,give.statement
"But I don't go to parties, that sort of thing.",give.statement
"But what I find is, the kind of oddness...",give.opinion
"Social media is a major difference, maybe it was different",give.opinion
before social media in that you can be kind of attacked on social media,give.opinion
or even just...,recall
"I had a man wants send me a message just saying, I've",recall
just watched you put your bin out.,recall
Which is not a euphemism.,give.statement
LAUGHTER,use.social.convention
But that's the sort of thing that,recall
"was quite scary to see, that.",give.opinion
That is scary.,respond.agree
"It's not threatening but it was still a bit like, did he see",relax.atmosphere
that I didn't put all the recycling in the recycling bin?,relax.atmosphere
LAUGHTER,use.social.convention
"And when you're quite a private person, I find",give.opinion
that quite jarring a little bit.,give.opinion
Not being able to turn it off.,give.statement
"Yes, absolutely, and not being able to put your bin out just",respond.agree
in your pants if you want to.,relax.atmosphere
Fully dressed.,relax.atmosphere
"Because I have to say, I think you have been really brave in",give.opinion
the way that you've taken on the press.,give.opinion
Because I feel with the press you'll win battles but in the end,give.opinion
they may win the war.,give.opinion
"I mean, are you worried they are just going to crush you, just find",closed.question
something to finally finish you off with?,closed.question
LAUGHTER,use.social.convention
Yes.,respond.agree
"I mean, look, I think they've got every skeleton in my cupboard.",give.opinion
"There's a lot, but I think they've had them all now.",give.opinion
Woohoo!,relax.atmosphere
"I mean you can't take that line really, because",give.opinion
"our lives are lovely, they're basically lovely.",give.opinion
"It's when people around you, your family, your",give.opinion
"innocent family, your 89-year-old dad gets",give.opinion
woken up in the middle of,give.opinion
"the night and asked questions, that's when you get angry.",give.opinion
"But we're all right, we're all right, we're",give.opinion
"rich, we get lots of attention!",give.statement
LAUGHTER,use.social.convention
I think it's also the people who,respond.agree
have no recourse.,give.statement
We have voices and loud voices.,give.statement
That's it.,give.statement
It is people who live in a street in town and,give.statement
in the papers and they've got no way...,give.statement
And these are the people.,give.statement
"My campaign, Hacked Off, is entirely those people.",give.statement
It's people who have lost children in road accident and then,give.statement
had their privacy invaded by national newspapers.,give.statement
"It's all them, and it's not a celebrity, poor me, organisation.",give.statement
APPLAUSE,use.social.convention
Very good.,relax.atmosphere
"Jason, because you have this incredibly strong look, you know.",give.opinion
It's the forehead!,respond.agree
It's everything.,relax.atmosphere
The caveman forehead.,relax.atmosphere
"It's a look, but you do take your acting very seriously.",give.statement
You approach each role and was it Conan you were quite method for?,closed.question
"Yeah, I had some stupid idea...",respond.agree
"You idolise actors, and when I was growing up Marlon Brando",recall
was obviously a huge one.,recall
My heard in Streetcar he got punched in the nose,recall
so he could change his face.,recall
And I asked a buddy to punch me in the face and I had my nose broken,recall
and broke straight on.,recall
And in Conan there's a gigantic bump in there and my wife was so pissed!,recall
I hope I don't have a friend who would do that for me.,relax.atmosphere
I'll do it if you want!,relax.atmosphere
LAUGHTER,use.social.convention
Apparently I do!,relax.atmosphere
"You're been in so many films, very experienced, but in real life,",give.statement
didn't you pretend to be your own agent?,closed.question
I did.,respond.agree
"I've never been very good with being agented,",recall
"with agents and I fire them left, right and centre.",recall
I fired one poor man who was a brilliant agent just,recall
because I saw his anus.,recall
LAUGHTER,use.social.convention
Not just 10% of it?,relax.atmosphere
LAUGHTER,use.social.convention
It was ridiculous.,relax.atmosphere
We were at some film festival and his shower broke down,recall
and he wanted to borrow my bath in my suite and I said all right.,recall
I forgot he was in there and I walked in and he was,recall
on all fours washing.,recall
Who washes like that?,closed.question
I've never heard of such a thing!,give.statement
"Anyway, the view was awful.",give.statement
I don't understand!,relax.atmosphere
He was on all fours?,closed.question
"Yes, with his bottom towards me, this awful, soapy...",respond.agree
Flag of Japan.,relax.atmosphere
LAUGHTER,use.social.convention
"I had to say, you're a great agent,",recall
I'm really fond of you but I've seen your anus and you've got to go.,recall
I did then invent an agent for three or four years,give.statement
"called James Howe Ealy, which saved a lot of money.",give.statement
"People would send me a script and James Howe Ealy would say,",recall
"thank you so much for submitting the script, I will get it",recall
to Hugh as soon as possible and get back to you.,recall
But I got caught out in the end because I used to do the emails,recall
"a bit drunk and I would say, Hugh has read the script",recall
and he really enjoys it and he'd like to meet up.,recall
"""Best wishes, Hugh.""",recall
LAUGHTER,use.social.convention
"And then they rang one time and I was sort of,",recall
I haven't got a voice for James Howe Ealy!,give.statement
And for some reason I panicked and I went with genteel,recall
Edinburgh old lady.,recall
It was pretty much Janet from Doctor Finlay.,give.statement
"IN SCOTTISH ACCENT. Well, hello now.",recall
Shall we have a wee cup of tea then?,recall
Ludicrous and unconvincing.,give.opinion
On the anus front...,relax.atmosphere
"I was recently, I woke up the other day and I was lying",recall
"on the bed and I've got a little dog, a little rescue",recall
"dog, adorable thing.",give.opinion
And he was lying on one of my boobs which is tricky when they're,give.opinion
in a bra but very easy when they're not.,give.opinion
And he pushed himself off the boob and it really,recall
"hurt so I made a noise, a noise of pain.",recall
"At the same time, unbeknownst to me, my husband was bent over picking up",recall
"a sock off the floor, fully naked with his anus",recall
"in much the same situation, spread in my face.",recall
"And the noise that I made, he thought I was making that noise",recall
because of what I had just seen!,recall
And the noise I made was this...,recall
Aaah!,relax.atmosphere
"And I said to him, I've been with you for 13 years,",recall
"I love you very dearly, I would never make a noise",recall
upon seeing any part of you.,recall
I might do a face.,relax.atmosphere
I might do a little wretch...,relax.atmosphere
LAUGHTER,use.social.convention
But it would be entirely inaudible.,relax.atmosphere
I love him too much!,relax.atmosphere
"Sarah Millican, very quickly, you are also back on tour.",give.statement
Control Enthusiastic.,give.statement
It's 130 dates.,give.statement
"Yeah, it's sort of a year.",respond.agree
I have little gaps so I don't go mad and I get to remind myself,give.statement
what my husband looks like.,give.statement
"His face, hopefully not the rest of him!",relax.atmosphere
Not just his anus!,relax.atmosphere
LAUGHTER,use.social.convention
Who knew I had an anus story?!,relax.atmosphere
It it's good to know.,give.statement
Jason...,give.statement
