U,L
How's that new school?,closed.question
"So easy. We miss you, Miles.",give.statement
You miss me? I still live here!,exclamation
"Wait, you miss me?",closed.question
Man Singing in Spanish,misc
Contra!,misc
"Oh, come on.",relax.atmosphere
"Seriously, Dad. Walking would've been fine.",give.opinion
You can walk plenty on Saturday,give.statement
when you peel those stickers off.,give.statement
"You saw that? I don't know if that was me, dad.",closed.question
And the two from yesterday on Clinton.,give.statement
"Yeah, those were me.",respond.agree
"So, oh, look at that. Another new coffee shop.",give.statement
You see the mass? Totally. Yeah.,closed.question
You see that. What's that one called? Foam Party.,closed.question
"""Foam Party""? Come on. Mmm.",quoted.speech
And everyone is just linin' up. You see that mass?,closed.question
I see it. Is that a coffee shop or a disco?,closed.question
"Dad, you're old, man.",give.opinion
There are multiple reports,recall
of another mysterious seismic event last night.,recall
Sources close to Spider-Man say he's looking into the problem.,give.statement
"Spider-Man. I mean, this guy swings in once a day,",give.statement
zip-zap-zop in his little mask and answers to no one. Right?,closed.question
"Yeah, Dad. Yeah.",respond.agree
"Meanwhile, my guys are out there,",give.statement
"lives on the line, no masks. Uh-huh.",give.statement
"You know, we show our faces I know. Dad, dad.",give.statement
Speed up. Speed up. I know these kids.,give.statement
"You know, with great ability comes great accountability.",give.statement
"That's not even how the saying goes,",respond.deny
"dad. I do like his cereal, though.",give.opinion
I'll give him that.,give.statement
"Oh, my gosh. Don't cops run red lights?",closed.question
"Oh, yeah, some do.",respond.agree
But not your dad.,respond.deny
My memories keep begging,misc
For someone else,misc
"I know this feeling, yes I know it very well",misc
Why can't I go back to Brooklyn Middle?,closed.question
You've given it two weeks.,respond.agree
We're not having this conversation.,give.statement
I just think that this new school is elitist.,give.opinion
"""Elitist""? And I would prefer to be",quoted.speech
at a normal school among the people.,give.opinion
"""The people""? These are your people.",quoted.speech
I'm only here 'cause I won that stupid lottery.,give.statement
No way. You passed the entry test just like everybody else. Okay.,give.opinion
You have an opportunity here. You wanna blow that? Huh?,give.opinion
You wanna end up like your uncle?,closed.question
What's wrong with Uncle Aaron? He's a good guy.,closed.question
We all make choices in life.,give.statement
It doesn't feel like I have,give.opinion
a choice right now. You don't!,give.statement
"I love you, Miles.",closed.question
"Yeah, I know, Dad. See you Friday.",give.statement
"You gotta say ""I love you"" back. Dad, are you serious?",quoted.speech
"I wanna hear it. ""I love you, Dad."" You wanna hear me say it?",quoted.speech
"You're dropping me off at a school. ""I love you, Dad.""",quoted.speech
"Look at this place. ""Dad, I love you.""",quoted.speech
"Dad, I love you.",give.statement
That's a copy.,relax.atmosphere
"Tie your shoes, please.",give.statement
"""I love you, Dad.""",quoted.speech
"Hey, good morning. How you doin'?",use.social.convention
"Weekend was short, huh? ""That's a copy.""",quoted.speech
"Oh, my gosh! This is Th This is embarrassing.",give.opinion
We wore the same jacket.,relax.atmosphere
"Hey. Your shoe's untied. Yeah,",give.statement
"Yeah, I'm aware. It's a choice.",respond.agree
Theory is that All matter is composed,give.statement
Of at least three,give.statement
Fundamental particles,give.statement
Who can solve this for XY?,closed.question
And that is known as a syllogism.,give.statement
Read two chapters of Great Expectations.,give.statement
A take-home quiz on volumetric pressure.,give.statement
Five-page essay with your conclusions stressed.,give.statement
countless other possibilities.,give.statement
There could be a universe where I am wearing red.,recall
Or wearing leather pants.,recall
Mr. Morales. Movin' in the dark. You're late again.,give.statement
"Einstein said time was relative, right?",closed.question
Maybe I'm not late. Maybe you guys are early.,relax.atmosphere
Sorry. It was just so quiet.,relax.atmosphere
"Would you like to keep standing there,",closed.question
or do you wanna sit down?,closed.question
"Our universe is, in fact, one of many parallel universes",recall
happening at the exact same time.,recall
Thanks to everyone here at the Fisk Family Foundation,recall
I liked your joke. Really?,give.opinion
"I mean, it wasn't funny. That's why I laughed.",respond.agree
"But it was smart, so I liked it.",give.opinion
I don't know. I don't think I've seen you before. -,give.statement
Every choice that we make,recall
would create countless other possibilities.,recall
A what-if to infinity.,recall
"A zero? A few more of those,",give.statement
"you'd probably have to kick me outta here, huh?",closed.question
Maybe I'm just not right for this school.,give.opinion
If a person wearing a blindfold picked the answers,give.statement
"on a true-or-false quiz at random,",give.statement
do you know what score they would get?,closed.question
50%? That's right!,exclamation
The only way to get all the answers wrong,give.statement
is to know which answers are right.,give.statement
You're trying to quit.,give.statement
And I'm not gonna let you.,give.statement
I'm assigning you a personal essay.,give.statement
"Not about physics, but about you,",give.statement
and what kind of person you want to be.,give.statement
Unh. Unh Unh. Unh,misc
Come on,misc
"Ha, sicker than Your average",misc
Poppa twist cabbage Off instinct,misc
Don't think,misc
"My Detroit players, timbs for My hooligans in Brooklyn",misc
"Dead right, if the head Right, Biggie there e'rynight",misc
"Never lose, never choose to Bruise crews who",misc
Do something to us Come on,misc
Uncle Aaron! Hey! Were you scared?,use.social.convention
You want that?,closed.question
What's up with school?,closed.question
Going great! Got tons of friends.,respond.agree
You can't tell me it's all that bad there.,give.statement
Smart girls is where it's at.,give.opinion
Place must be full of 'em.,give.opinion
"No, there's no one.",respond.deny
"Yo, I can't have no nephew of mine. No one.",give.opinion
"On the streets with no game. Hey,",give.opinion
I got game. There's a new girl.,respond.agree
"Actually, you know, she's kinda into me.",give.opinion
You know how it is.,give.statement
What's her name?,closed.question
"You know,",give.statement
we layin' down the groundwork right now.,give.statement
You know about the shoulder touch?,closed.question
'Course I do.,respond.agree
But tell me anyway.,give.statement
"Tomorrow, find that girl. You walk up to her and be like:",give.statement
"""Hey.""",quoted.speech
"You serious, Uncle Aaron?",closed.question
"I'm tellin' you, man, it's science.",respond.agree
"So walk up to her and be like: ""Hey.""",quoted.speech
"No, no, no, no. Like: ""Hey.""",respond.deny
"""Hey.""",quoted.speech
"No. ""Hey.""",respond.deny
"""Hey.""",quoted.speech
"You sure you my nephew, man?",closed.question
Is that her?,closed.question
I should probably go. Still got a paper to do tonight.,give.opinion
"Yo, you been holdin' out on me? You throw these up yet?",closed.question
"Naw, man. You know my dad. I can't.",respond.deny
Come on. I got a spot you ain't gon' believe.,give.opinion
"Naw, I can't. I can't. Can't.",respond.deny
I'm gonna get in so much trouble.,give.opinion
"Hey, man. Tell him your art teacher made you.",give.statement
Hey! How'd you know about this place?,closed.question
Did an engineering job down here.,respond.agree
"One, two, three Four, five",misc
What's up?,closed.question
"Yeah, man, I knew we were related.",relax.atmosphere
Whoa!,relax.atmosphere
Brooklyn!,relax.atmosphere
There's a lot of history on these walls.,give.opinion
This is so fresh.,give.opinion
"And now you on your own, Miles.",give.statement
"Whoa, slow down a little.",give.statement
That's better.,give.opinion
Who's the black sheep? What's the black sheep?,misc
Don't know who I am When I'm coming so you sleep,misc
See what you got now? Makin' mistakes is part of it.,give.opinion
And you can't beat that,misc
The real Miles comin' outta hidin'.,give.statement
You gotta hay? It's for the hoes,misc
Now you can cut that line with another color.,give.statement
You can get with this Or you can get with that,misc
You can get with this or You can get with that,misc
You can get with this Or you can get with that,misc
I think you'll get with this For this is where it's at,misc
Little help?,closed.question
who was quite contrary Talkin' 'bout Mary,misc
"Did you want drips? 'Cause if you do, that's cool,",give.opinion
"but if you don't, you gotta keep it moving.",give.opinion
That's intentional.,respond.deny
Wow. Is it too crazy?,closed.question
"No, man.",respond.deny
"Miles, I see exactly what you're doing there.",give.statement
Yeah.,respond.agree
"You know, me and your dad used to do this back in the day.",recall
Stop lyin'. It's true.,respond.deny
"Then he took on the cop thing, and I don't know",respond.agree
"He's a good guy, just",give.opinion
You know what I'm sayin'.,give.statement
"All right, come on, man. I gotta roll.",give.statement
"Miles, let's go.",give.statement
That's weird.,give.statement
My pants shrank.,give.statement
I think I hit puberty.,give.opinion
I gotta get new pants.,give.opinion
Wait. Why is the voice in my head so loud?,closed.question
What?,closed.question
Oh! Are you okay? What?,closed.question
Why am I so sweaty?,closed.question
Why are you so sweaty?,closed.question
It's a puberty thing.,respond.agree
I don't know why I said that. I'm not going through puberty.,give.statement
"I did, but I'm done.",give.statement
I'm a man.,give.statement
"So you're, like, new here, right? We got that in common.",closed.question
Yeah. That's one thing.,respond.agree
Cool. Yeah. I'm Miles.,use.social.convention
I'm Gwe anda.,use.social.convention
"Wait, your name is Gwanda?",closed.question
"Yes, it's African. I'm South African.",respond.agree
No accent though 'cause I was raised here.,give.statement
Do the shoulder touch now before she walks away.,give.statement
Why is this so scary?,closed.question
Am I doing this in slow motion or does it just feel that way?,closed.question
"I'm kidding. It's Wanda. No ""G."" That's crazy. Heh.",relax.atmosphere
Hey.,give.statement
"Okay, then. Uh",give.statement
I'll see you around.,use.social.convention
Oh. See you.,use.social.convention
Sorry. Um Hey.,use.social.convention
"Oh, crap. Can you let go, please?",closed.question
I can't let go. Ow! Ow! Calm down. It's fine. Just,respond.deny
"Miles, let go. Workin' on it.",give.statement
It's just puberty.,relax.atmosphere
I don't think you know what puberty is. Just relax.,give.statement
"Okay, I have a plan. Great.",give.statement
I'm gonna pull really hard. That's a terrible plan.,give.statement
One. Don't do this.,respond.deny
Two. Three!,give.statement
Nice to meet you?,closed.question
Sure. Total pleasure.,relax.atmosphere
No one saw. It's okay.,give.statement
"No one knows, no one knows.",give.statement
Everyone knows.,give.statement
Everyone knows. They're talkin' 'bout me.,give.statement
They saw everything! He knows. She knows. They know.,give.statement
"Wow, she's super tall.",relax.atmosphere
Why is he smiling? Am I the weird guy now?,closed.question
What am I doing?,closed.question
That guy's such a weirdo.,give.statement
How do I stop?,closed.question
Can they hear my thoughts?!,closed.question
Why are all my thoughts so loud?!,closed.question
"Hey! I know you snuck out last night, Morales.",give.statement
Play dumb!,give.statement
Who's Morales?,closed.question
Not that dumb!,exclamation
Hey!,exclamation
"Okay, okay. You're okay.",give.opinion
You're okay.,give.opinion
He'll never find you.,give.opinion
No.,respond.deny
Ow!,exclamation
"What are you doing in my office, Morales?!",closed.question
Morales! Open up!,exclamation
"Oh, Spider-bells Goblin smells",misc
Why is this happening?,closed.question
Spider-buggy bleiw a tire,misc
He's got a nice voice.,give.opinion
"Spidey-bells, Spidey-bells",misc
Open up!,exclamation
Stop sticking!,exclamation
"Keep sticking, Miles! Oh!",exclamation
Hofstadter is suggesting,give.statement
is that we,give.statement
look on the,give.statement
Okay.,give.statement
My room!,exclamation
"""Why is this happening?""",inner.dialogue
"""Please stop sticking.""",inner.dialogue
"""Please keep st""",inner.dialogue
"Wait, wait, wait.",inner.dialogue
How could there be two Spider-Men?,closed.question
There can't be two Spider-Men.,give.opinion
Can there?,closed.question
"Come on, Uncle Aaron, pick up. Pick up!",give.statement
"Yo, it's Aaron.",quoted.speech
I'm outta town for a few days.,quoted.speech
I'll hit you when I'm back. Peace. No. No-No-No-No-No.,quoted.speech
It's not possible!,exclamation
It's It's just puberty.,give.opinion
It's a normal spider and I'm a normal kid!,exclamation
All right!,exclamation
I gotta tell someone.,inner.dialogue
"Okay, you're being crazy, Miles. You're being crazy.",inner.dialogue
Find the spider.,give.statement
You'll see.,give.statement
It's a normal spider.,give.opinion
"It's, like, boring how normal this spider is.",give.opinion
I'm right here.,give.statement
Why is this happening to me?,closed.question
Slow down! What am I doing?,closed.question
Way over there.,inner.dialogue
You're like me.,inner.dialogue
Miles. Look out.,inner.dialogue
I don't wanna be a hero.,inner.dialogue
Miles.,inner.dialogue
Whoa!,exclamation
"Norman, listen to me.",give.statement
Spider-Man?,closed.question
I cannot let you open a portal to another dimension.,give.statement
Brooklyn is not zoned for that.,give.statement
It's not up to me.,give.statement
Is that Green Goblin?!,closed.question
Why won't you quit?!,closed.question
I guess I like Brooklyn not being sucked into a black hole.,respond.agree
I think I'm gonna go.,give.statement
"Staten Island, maybe. Not Brooklyn.",relax.atmosphere
No! No!,exclamation
Whoa!,exclamation
Oh! What now?,closed.question
What is this place?,closed.question
Did you know your shoes are untied?,closed.question
"Uh-huh. This is a onesie,",respond.agree
so I don't really have to worry about it.,relax.atmosphere
I thought I was the only one. You're like me.,give.statement
I don't wanna be.,give.statement
"I don't think you have a choice, kiddo.",give.opinion
"Got a lot going through your head, I'm sure.",give.opinion
Yeah.,respond.agree
You're gonna be fine. I can help you.,give.opinion
"If you stick around, I can show you the ropes.",give.statement
Yeah.,respond.agree
I just need to destroy this big machine real quick,give.statement
before the space-time continuum collapses.,give.statement
Don't move.,give.statement
See you in a bit.,give.statement
How does he do that?,closed.question
"Is it here? No, no, it's here.",closed.question
"All right, folks.",relax.atmosphere
I always get this wrong.,give.statement
"Oh, boy.",give.statement
Prowler.,give.statement
"Man, I was in the middle of something.",give.statement
I am so tired.,give.statement
Are you mad at me? I feel like you're mad at me.,closed.question
That all you got?,closed.question
"Aw, so gross.",exclamation
I should go up there and help him.,give.statement
Who am I kidding? I should not do that.,closed.question
Watch out. Here comes the Spider-Man.,misc
You like my new toy?,closed.question
"Cost me a fortune, but, hey, can't take it with you, right?",relax.atmosphere
You came all this way. Watch the test.,give.statement
It's a hell of a freaking light show.,give.opinion
You're gonna love this.,give.opinion
"No! No, don't do this! Stop!",exclamation
You don't know what it can do! You'll kill us all!,exclamation
I see multiple dimensions opening!,exclamation
"That was three, four and five separate dimensions.",give.statement
It's unstable! We should stop.,give.opinion
"Norm, what's your take on head trauma?",closed.question
"I tried to warn you, pal.",relax.atmosphere
"Goblin, no! Get him outta there!",exclamation
Wilson! Where are we?,quoted.speech
Really weird.,quoted.speech
Wilson!,quoted.speech
Hey! Are you okay?,closed.question
"I'm fine, I'm fine. I'm just resting.",respond.agree
Can't you get up? Yeah.,closed.question
"Yeah, I always get up.",respond.agree
The coughing's probably not a good sign.,give.opinion
Find him. Now.,give.statement
"Listen, we gotta team up here. We don't have that much time.",give.opinion
This override key is the only way to stop the collider.,give.statement
"Swing up there, use this key, push the button and blow it up.",give.statement
You need to hide your face.,give.statement
You don't tell anyone who you are.,give.statement
No one can know. He's got everyone in his pocket.,give.statement
"If he turns the machine on again,",give.statement
everything you know will disappear.,give.statement
"Your family, everyone.",give.statement
Everyone.,give.statement
Promise me you'll do this.,give.statement
I promise.,respond.agree
Go. Destroy the collider.,give.statement
I'll come and find you.,give.statement
It's gonna be okay.,give.opinion
Tombstone.,give.statement
We're done with tests.,give.statement
Get that thing ready to go again. And soon.,give.statement
Run faster!,exclamation
These guys are weak.,give.opinion
"I'd say it's nice to see you again, Spider-Man,",give.statement
but it's not.,give.statement
"Hey, Kingpin. How's business?",use.social.convention
Boomin'. Heh.,relax.atmosphere
"Nice. Aw, that's a no-no.",give.statement
This might open a black hole under Brooklyn.,give.statement
It can't be worth the risk.,give.opinion
"It's not always about the money, Spider-Man.",give.statement
Don't you wanna know what I saw in there?,closed.question
Wait.,give.statement
"I know what you're trying to do,",give.statement
and it won't work.,give.opinion
They're gone.,give.statement
Get rid of the body.,give.statement
What was that?,closed.question
Kill that guy.,give.statement
Stop sticking!,exclamation
"Stand clear of the closing doors, please.",misc
"Yeah, I think it's a Banksy.",relax.atmosphere
Police! Put your hands up!,give.statement
Miles? Miles?,closed.question
Why aren't you at school?,closed.question
"Whoa, whoa, whoa. It's okay. It's okay.",give.statement
Miles? ¿Qué te pasa?,closed.question
Is it the earthquake?,closed.question
Can I sleep here tonight?,closed.question
Miles. It's a weeknight.,give.statement
You made a commitment to that school.,give.statement
"Jeff, he's upset.",give.statement
Of course you can stay.,respond.agree
Dad? Yeah.,closed.question
Do you really hate Spider-Man?,closed.question
"Yeah. I mean, with a vigilante, there is",respond.agree
"Jeff, mi amor.",give.statement
What? He asked me.,closed.question
"Baby, you know how I feel about Spider-Man. Come on.",give.statement
Tú sabes que él te quiere mucho.,give.statement
"That's why he's tough on you. You know that, right?",closed.question
"Mom, do you ever think about moving out of Brooklyn?",closed.question
"Our family doesn't run from things, Miles.",respond.deny
"Yeah, I know.",give.statement
What's that about?,closed.question
"He's having a hard time, Jeff.",give.statement
"When it gets hard,",give.opinion
that's when he's gotta stick it out.,give.opinion
We interrupt this broadcast for a special report.,give.statement
Sad news tonight.,give.opinion
The hero known as Spider-Man has died,give.statement
after injuries related to another powerful earthquake,give.statement
in Brooklyn. Multiple sources are confirming,give.statement
"that Peter Parker, a 26-year-old grad student",give.statement
and part-time photographer,give.statement
operated as Spider-Man for at least a decade.,give.statement
"I'm not runnin' Runnin', runnin'",misc
"No, I'm not afraid Of the fall",misc
I'm not scared,misc
"He is survived by his wife, Mary Jane,",give.statement
"and his aunt, May Parker.",give.statement
"Our hero, Spider-Man, is gone.",give.statement
I'm not scared,misc
"My husband, Peter Parker,",give.statement
was an ordinary person.,give.statement
He always said it could've been anyone behind the mask.,give.statement
He was just the kid who happened to get bit.,give.statement
I'm going to miss him.,give.opinion
Yeah.,respond.agree
"We were friends, you know.",give.statement
Can I return it if it doesn't fit?,closed.question
It always fits,give.statement
eventually.,give.statement
"He didn't ask for his powers,",give.statement
but he chose to be Spider-Man.,give.statement
My favorite thing about Peter,give.opinion
is that he made us each feel powerful.,give.opinion
We all have powers of one kind or another.,give.opinion
Of the dark,misc
But in our own way.,give.opinion
We are all Spider-Man.,give.opinion
And we're all counting on you.,give.opinion
They're counting on me.,give.statement
Probably not you specifically. I think it's a metaphor.,relax.atmosphere
"I'm sorry, Mr. Parker.",give.statement
"That thing you gave me, that key.",give.statement
I think I really messed it up.,give.opinion
I wanna do what you asked.,give.statement
I really do.,give.statement
But I'm sorry.,give.statement
I'm not sure I'm the guy.,give.opinion
I can't do this without you.,give.opinion
"Hey, kid.",give.statement
Whoa!,give.statement
What did I do to him?!,exclamation
No.,give.statement
Who are you?,closed.question
"All right, people, let's do this one last time.",give.statement
My name is Peter B. Parker.,use.social.convention
I was bitten by a radioactive spider.,recall
"And for the last 22 years,",recall
I thought I was the one and only Spider-Man.,give.statement
What a day.,relax.atmosphere
I'm pretty sure you know the rest.,give.statement
"You see, I saved the city, fell in love, I got married,",recall
"saved the city some more, maybe too much.",recall
"My marriage got testy, made some dicey money choices.",recall
Don't invest in a spider-themed restaurant.,recall
"Then like 15 years passed. Blah, blah, blah. Super boring.",recall
"I broke my back, a drone flew into my face,",recall
I buried Aunt May.,recall
My wife and I split up.,recall
But I handled it like a champion.,recall
"'Cause, you know what,",recall
"no matter how many times I get hit,",recall
I always get back up.,recall
And I got a lot of time to reflect and work on myself.,recall
"Did you know that seahorses, that they mate for life?",recall
Could you imagine?,recall
A seahorse seeing another seahorse,recall
and then making it work?,recall
She wanted kids and,recall
And it scared me.,recall
I'm pretty sure I broke her heart.,give.opinion
"Flash forward: I'm in my apartment doing push-ups,",give.statement
"doing ab crunches, getting strong,",relax.atmosphere
when this weird thing happened.,give.opinion
"And I gotta say, weird things happen to me a lot.",give.opinion
But this was real weird.,give.opinion
Ow!,exclamation
"You see, I was in New York, but things were different.",give.opinion
"Also, I was dead.",recall
And blond.,recall
I was kind of perfect.,give.opinion
It was like looking in a mirror.,relax.atmosphere
I have a feeling that the thing,give.statement
that brought me here,give.statement
was the thing that got him killed.,give.statement
You wanna know what happened next?,closed.question
"Me, too.",respond.agree
Who are you?,closed.question
What are you doin' over there?,closed.question
Freeze! P.D.N.Y.,exclamation
Stop!,exclamation
Are you kidding me right now?,closed.question
Stop! Stop!,exclamation
I gotcha. I gotcha.,give.statement
"Hey, kid. Drop the body.",give.statement
"Hey, kid. Get over here! Come on, now!",exclamation
Whoa.,exclamation
"See you, officers!",exclamation
"Aw, come on.",exclamation
"Hey, kid. Kid, come on, now!",exclamation
"Put 'em up, son!",exclamation
Uh adiós?,misc
Help! Somebody stop that train!,exclamation
"Oh, hey. What the?",exclamation
Sorry.,exclamation
I'm gonna die!,exclamation
Looks like a child dressed like Spider-Man,give.statement
dragging a homeless corpse behind a train.,give.statement
Yes! I didn't kill you.,exclamation
Who are you? Who are you?,closed.question
Why are you trying to kill me? I'm not.,closed.question
I'm trying to save you.,respond.deny
"Hey, maybe you guys can go around?",relax.atmosphere
"All right. Thanks, New York.",relax.atmosphere
What was that?,closed.question
Kid electrocuted me,recall
with his hands.,recall
You're like me. I got some questions.,give.statement
Why do you look like Peter Parker?,closed.question
Because I am Peter Parker.,respond.agree
Then why aren't you dead? And why is your hair different?,closed.question
Why are you older? And why is your body,closed.question
a-a different shape?,closed.question
Pretty sure you just called me fat.,relax.atmosphere
"No. No, you just",respond.deny
"Atleast, you don't look so hot either, kid.",give.statement
Most superheroes don't wear their own merch.,give.opinion
Are you a ghost? No.,closed.question
Are you a zombie? Stop it.,closed.question
Am I a zombie? You're not even close.,respond.deny
Are you from another dimension? Like a parallel universe,closed.question
where things are like this universe but different?,closed.question
And you're Spider-Man in that universe?,closed.question
"But somehow traveled to this universe,",give.opinion
but you don't know how?,closed.question
Wow. That was really just a guess?,closed.question
We learned about it in physics.,respond.agree
Quantum theory. This is amazing!,exclamation
You can teach me like Peter said he would.,give.statement
"Before he died. Yeah, right. Yeah. Exactly.",relax.atmosphere
"Look, I made a promise to him.",recall
"Here's lesson number one, kid.",give.statement
Don't watch the mouth. Watch the hands.,give.statement
"Peter, seriously",give.statement
"Trust me, kid.",give.opinion
This'll all make you a better Spider-Man.,give.opinion
"Hey, are you okay?",closed.question
"No, I'm not.",respond.deny
What's going on with your body?,closed.question
I don't think my atoms are real jazzed,give.opinion
about being in the wrong dimension.,give.opinion
"Look, I'm not looking for a side gig",give.statement
as a Spider-Man coach.,give.statement
I got a lot going on in my dimension.,give.statement
"""With great power comes great""",recall
Don't you dare finish that sentence.,give.statement
Don't do it! I'm sick of it.,exclamation
Want my advice? Go back to being a regular kid.,give.opinion
I don't have a choice!,exclamation
Kingpin's got a supercollider.,give.statement
He's trying to kill me. Wait a second.,give.statement
What did you just say? Kingpin's tryin' to kill me.,closed.question
Who cares about that. Where's the collider?,closed.question
Brooklyn. Under Fisk Tower.,respond.agree
Goodbye. Where you going?,closed.question
"When it runs again, I'll jump in",give.statement
and get back to my life. You can't let them run it.,give.statement
I'm supposed to destroy it,give.statement
so it never runs again or everyone's gonna die.,give.statement
"""Or everyone's gonna die."" That is what they always say.",quoted.speech
But there's always a little bit of time before everybody dies,give.opinion
and that's when I do my best work.,give.opinion
Aren't you gonna need this?,closed.question
"Aw, you have a goober. Give it.",give.statement
"W-W-Wait, no. Not so fast. He called it an override key.",respond.deny
"There's always a bypass key, a virus key, a who-cares key.",give.statement
"I can never remember, so I always call it a goober. Give it.",give.statement
I need it to destroy the collider.,give.statement
I need it to go home.,give.statement
No. I'll swallow it. Don't play with me.,give.statement
What? Hey? I said,exclamation
The collider created a portal that brought me here.,give.statement
And I have to get,give.statement
"Did you break this? No, it broke.",closed.question
I don't remember what happened.,respond.deny
"See, this is why I never had kids.",give.statement
Can't we make another one?,closed.question
"We can't do anything. Thanks to you,",respond.deny
I have to re-steal what your guy stole from Alchemax,give.statement
and make another one of these.,give.statement
"If I don't turn off the collider after you leave,",give.statement
"everyone in this city,",give.statement
"my parents, my uncle and millions of others, will die.",give.statement
And you're just gonna go home,give.statement
and leave me here to figure this out for myself?,closed.question
"You good with that, Spider-Man? Yeah.",closed.question
What are you doing?,closed.question
Making you feel guilty. Is it working?,closed.question
How could it? No. Look at me.,closed.question
Does it look like it's working?,closed.question
"No. No, it's not",respond.deny
No! No! No! Do not let him win!,exclamation
"All right, kid. You win.",give.statement
"Come on, we don't have a second to lose.",give.statement
Mmm. I love this burger. So delicious.,give.opinion
One of the best burgers I've ever had.,give.opinion
"In my universe, this place closed six years ago.",recall
Hmm. I don't know why. I really don't.,give.opinion
Mmm.,relax.atmosphere
"You have money, right? I'm not very liquid right now.",closed.question
Can we focus? Mm-hm. Sure.,closed.question
The other Peter You gonna eat that?,closed.question
I'm listening.,give.statement
The other Peter said he was gonna be,give.statement
showing me the ropes. Wow.,give.statement
You got any Spider-Man tips you can tell me now?,closed.question
"Yeah, I got plenty.",respond.agree
Disinfect the mask.,give.statement
"You're gonna wanna use baby powder in the suit,",give.statement
heavy on the joints.,give.statement
"You don't want any chafing, right?",closed.question
"Anything else? Nope, that was everything.",closed.question
I think you're gonna be a bad teacher.,give.opinion
Uh-uh-uh? Look up where Alchemax is.,give.statement
"""A private technological campus in Hudson Valley, New York.""",quoted.speech
You can teach me,give.statement
to swing on the way there.,give.statement
"I'm not swinging to the Hudson Valley, Miles.",give.statement
Not after a hearty burger breakfast.,give.statement
Keep your legs fresh. You're gonna thank me later.,give.opinion
I can see a new horizon,misc
Underneath the blazing sky,misc
I'll be where the eagle's Flying higher,misc
And it's a no on the cape. I think it's cool.,give.opinion
Take that off. It's disrespectful.,give.opinion
Spider-Man doesn't wear a cape.,give.statement
So how do we retrace Peter's steps?,closed.question
That's a good question.,give.opinion
What would I do if I were me?,closed.question
Got it.,respond.agree
I infiltrate the lab.,give.statement
Find the head scientist's computer.,give.statement
That lady with the bike is the head scientist.,give.statement
I saw her in this documentary.,give.statement
Cool! Step Three: I reexamine my personal biases.,relax.atmosphere
I hack the computer.,give.statement
It's not technically hacking.,respond.deny
Not now. I just lost my train of thought.,give.statement
Download the important stuff.,give.statement
I'll know it when I see it.,give.statement
I grab a bagel from the cafeteria and run.,give.statement
"So, what am I doing?",closed.question
You stay here. You're lookout. Very important.,give.statement
"Look, man. You gotta teach me how to do Spider-Man stuff",give.statement
or I won't be able to help.,give.statement
"Watch and learn, kid! I'll quiz ya later!",exclamation
Why did I get stuck with,closed.question
"the janky, old, broke hobo Spider-Man?!",closed.question
That's new.,relax.atmosphere
Kingpin.,give.statement
What am I doing? What am I doing?,closed.question
What am I doing? What am I doing?,closed.question
Whoa!,exclamation
Peter!,exclamation
Peter!,exclamation
Peter!,exclamation
What are you doing here? Kingpin's here.,closed.question
Just move over.,give.statement
