U,L
♪ Oh-oh! ♪,misc
♪ Are you ready for it? ♪,misc
"My God, man.",relax.atmosphere
I'm so...,give.statement
happy.,give.statement
Everybody was so happy watching it.,give.opinion
Hey.,use.social.convention
#NAME?,x
#NAME?,x
"I've just been, like, running up and down stairs,",recall
"like, moving things around, unpacking boxes, like...",recall
...trying not to think about you calling me with Grammy nominations.,give.statement
"I know. Well, I'm trying to get the full...",respond.agree
the full list.,respond.agree
"Because right now, um, in the main...",give.statement
"the big categories of album, record, song...",give.statement
"um, you are not nominated.",give.statement
"- And... - Uh, okay, it's... it's, um...",use.social.convention
#NAME?,x
And it's very similar.,give.opinion
"Everything is like this cr... You know, it's so weird, I said...",give.opinion
If... This is...,use.social.convention
"You know what? Like, this is fine.",use.social.convention
#NAME?,x
I just need to make a better record.,give.opinion
"Well, Reputation is a great record.",give.opinion
"No, I'm making... I'm making a better record.",respond.deny
"Well, and I should...",use.social.convention
"I'm still waiting for the pop... you know, the pop categories.",give.statement
Those should be hitting any second.,give.statement
"So, do you want me to call you right back when those hit?",closed.question
Sure.,respond.agree
"- Okay, I'll call you right back. - Okay, thanks.",use.social.convention
"- Bye, now. Bye! - Bye.",use.social.convention
♪ So you say That you'll never find another... ♪,misc
♪ I'm the only one of me ♪,misc
It sounds different than I thought it would on the piano.,give.opinion
#NAME?,x
"And I guess it's, like... The only thing I have...",give.statement
"I really have minimal stuff, but it's like...",give.statement
♪ So you say that... ♪,misc
"And, like...",use.social.convention
♪ And then you say ♪,misc
♪ That you'll never find another Like me-ee-ee ♪,misc
"♪ Ooh-ooh, ooh-ooh ♪",misc
"♪ Baby, that's the fun of me ♪",misc
♪ Duh-nuh-nuh-nuh-nuh-nuh-nuh ♪,misc
- I don't know. I have no idea. - It's cool.,respond.agree
#NAME?,x
I think this is the first single.,give.opinion
"First verse, and, like, maybe a lower volume so you can hear",give.opinion
- what lyrics I'm trying to say. - Yeah.,give.opinion
♪ I know I said some bullshit ♪,misc
♪ On the phone ♪,misc
♪ I never leave well enough alone ♪,misc
♪ And trouble's gonna follow where I go ♪,misc
♪ And there's a lot of cool chicks Out there ♪,misc
♪ One of these things Is not like the others ♪,misc
♪ Like a rainbow with all of the colors ♪,misc
"♪ Baby doll, when it comes to a lover ♪",misc
♪ I tell you That you'll never find another ♪,misc
♪ Like me-ee-ee! ♪,misc
"- Yes! - ♪ Ooh-ooh, ooh-ooh! ♪",misc
- Yeah. - ♪ I'm the only one of me ♪,misc
"Yeah, so good.",misc
"♪ Baby, there's just one of me ♪",misc
♪ Ooh-hoo-hoo! ♪,misc
- Damn. - Holy shit!,exclamation
"Oh, my God, did we just do, like, this whole verse and chorus?",closed.question
Yeah.,respond.agree
Holy shit.,exclamation
Everything up to that point is good.,give.opinion
Yep.,respond.agree
You look like you might need a rest.,give.opinion
I don't need a rest. I'm fine.,respond.deny
This means it's working.,give.opinion
"Honey! How are you? Oh, honey!",use.social.convention
"Aw, hi, honey.",use.social.convention
There's so much pressure going into putting new music out.,give.opinion
"If I don't beat everything I've done prior,",give.opinion
"it'll be deemed as, like, a colossal failure.",give.opinion
"Maybe first I could talk to you about, um, kind of new album stuff.",give.statement
There's gonna be from...,give.statement
from 16 to 20 songs on it...,give.statement
is what I'm guessing it's gonna end up at.,give.statement
- It's a lot. - Let's get it done.,give.opinion
That's what... that's what I was hoping for.,respond.agree
Everybody in music has their own sort of...,give.opinion
niche specialty thing that they do...,give.opinion
"that, you know, sets them apart from everybody else.",give.opinion
And... my storytelling is what it is for me.,give.opinion
"I-I... I know that, without me writing my own songs,",give.opinion
I wouldn't... be here.,give.opinion
♪ We can... ♪,misc
♪ We can leave the Christmas... ♪,misc
Uh.,misc
♪ We can leave the Christmas lights up Till January... ♪,misc
There is an element to my fan base,give.opinion
where we feel like we grew up together.,give.opinion
"I'll... I'll be going through something, write the album about it,",give.statement
"and then it'll come out, and...",give.statement
sometimes it'll just coincide with what they're going through.,give.statement
Kind of...,give.opinion
Kind of like they're reading my diary.,give.opinion
♪...Close forever and ever? ♪,misc
"♪ And, ah, take me out ♪",misc
♪ And take me home ♪,misc
"♪ You're my, my, my, my ♪",misc
♪ Lover ♪,misc
Okay.,exclamation
"This is a song I wrote yesterday,",recall
and... it's about a girl who's just different.,recall
And I really like it,recall
because it's just s-so happy.,recall
"So, this is called ""Lucky You.""",recall
♪ There's a little girl In this little town ♪,misc
♪ With a little too much heart To go around ♪,misc
"♪ ""Live forever ♪",misc
♪ Never say never ♪,misc
"♪ You can do better"" That's what she says ♪",misc
"I have to be honest with you, this song was seriously finished",recall
five minutes ago.,recall
"So, you know, I usually have these things memorized,",recall
"but... I just finished it five minutes ago, so...",recall
♪ Let's watch the tide chase the waves ♪,misc
♪ Onto the sand ♪,misc
♪ I wonder if a sad heart ♪,misc
♪ Can feel the warmth of my hand ♪,misc
"I started playing guitar and wrote a couple songs,",recall
and I've written 150 songs,recall
"and written every song on this album, so...",recall
You were a freshman when you wrote this?,closed.question
I actually came up with the concept for it in math class my freshman year.,respond.agree
"You know, I've had a single out now for about a month.",recall
Yeah!,exclamation
There's this radio station called KZLA.,recall
I want each and every one of you to call 'em up...,recall
"and tell 'em you wanna hear a song called ""Tim McGraw""",recall
by this girl named Taylor Swift.,recall
Please.,relax.atmosphere
♪ You said the way my blue eyes shined ♪,misc
♪ Put those Georgia stars to shame That night ♪,misc
"♪ I said, ""That's a lie..."" ♪",misc
A 16-year-old girl released her debut country music album,use.social.convention
and dreamed of making it big.,use.social.convention
"Well, today that girl is as big as it gets.",use.social.convention
"In the past year, she has taken Nashville",use.social.convention
and country music on an unforgettable trip around the world.,use.social.convention
She went on to sell more than any artist this year.,use.social.convention
That made her the youngest person,use.social.convention
to write and perform a number one country song.,use.social.convention
"I give myself, like, five seconds a day to be like, ""Yes, this is happening!""",recall
"And then the rest of the day,",recall
I'm trying to figure out how I'm gonna make it last.,recall
And the Horizon Award goes to...,use.social.convention
Taylor Swift!,use.social.convention
♪ The moon Like a spotlight on the lake ♪,misc
#NAME?,x
and my family for moving to Nashville,quoted.speech
so that I could do this.,quoted.speech
And the fans...,quoted.speech
you have changed my life!,quoted.speech
Thank you so much.,use.social.convention
♪ I was ridin' shotgun With my hair undone ♪,misc
♪ In the front seat of his car ♪,misc
♪ He's got a one-hand feel On the steering wheel ♪,misc
♪ The other on my heart... ♪,misc
"I was in country music, and I was doing, like,",recall
"a very spectacle-type live show,",recall
"and I remember thinking, ""This feels like a dream.",recall
"This feels like a dream. This feels like a dream.""",recall
♪...Have a song ♪,misc
♪ Our song is a slamming screen door ♪,misc
♪ Sneaking out late... ♪,misc
But when you're living for the approval of strangers...,give.opinion
"and that is where you derive all of your joy and fulfillment,",give.opinion
one bad thing can cause everything to crumble.,give.opinion
There's only one lady that can actually make an arrival,use.social.convention
as angelic and as beautiful as this.,use.social.convention
"Ladies and gentlemen, give it up for Taylor Swift.",use.social.convention
And the Moonman for Best Female Video goes to...,use.social.convention
Taylor Swift.,use.social.convention
♪ If you could see that I'm the one ♪,misc
♪ Who understands you ♪,misc
♪ Been here all along ♪,misc
♪ So why can't you see ♪,misc
Thank you so much!,use.social.convention
I always dreamed about what it would be like,give.statement
"to maybe win one of these someday,",give.statement
but I never actually thought that would happen.,give.opinion
"Uh, I sing country music, so thank you so much",use.social.convention
"for giving me a chance to win a VMA Award, I...",use.social.convention
"Yo, Taylor...",use.social.convention
"I-I'm really happy for you. I'mma let you finish,",give.statement
but Beyoncé had one of the best videos of all time!,give.opinion
One of the best videos of all time!,exclamation
"I was standing onstage,",recall
"and I was really excited because I had just won the award,",recall
and then I was really excited because Kanye West was on the stage.,recall
"And then I, um...",recall
then I wasn't so excited anymore.,recall
"Hey, Taylor, are there any hard feelings towards him?",closed.question
"I-I don't know him, and I-I've never met him, so...",deflection
#NAME?,x
- ...yeah. - Oh.,respond.agree
- He's Kanye West. - Mm-hmm.,respond.agree
Are you still a fan? I take it no?,closed.question
"You know, I just... I don't know him, and I don't wanna start anything",deflection
"'cause I just, you know, I had a great night tonight.",deflection
"Everyone is talking about this Kanye West thing, aren't they?",closed.question
In case you're lucky enough,give.statement
"to have missed it, Kanye West interrupted a young singer",give.statement
named Taylor Swift while she...,give.statement
"President Obama calling Kanye West a ""jackass.""",give.statement
I can name you ten or 15 people,give.statement
that he wouldn't have gone up and taken that mic away from.,give.statement
But he did it with a 17-year-old girl because he could.,give.statement
It was so echoey in there.,recall
"At the time, I didn't know they were booing him doing that.",recall
I thought that they were booing me.,recall
For someone who's built their whole belief system,give.opinion
"on getting people to clap for you,",give.opinion
the whole crowd booing...,give.statement
is a pretty...,give.statement
formative experience.,give.opinion
♪ I walked through the door With you ♪,misc
♪ The air was cold ♪,misc
♪ But something 'bout it felt Like home somehow ♪,misc
♪ And I left my scarf there ♪,misc
♪ At your sister's house ♪,misc
♪ And you've still got it in your drawer Even now... ♪,misc
"That was, like, sort of a catalyst",recall
for a lot of psychological...,give.opinion
paths that I went down.,give.opinion
♪ We're singin' in the car Gettin' lost... ♪,misc
And not all of them were... beneficial.,recall
♪ Autumn leaves fallin' down Like pieces into place ♪,misc
♪ And I can picture it... ♪,misc
It was all fueled by not feeling like I belonged there.,recall
I'm only here because I work hard and I'm nice to people.,recall
♪ That magic's not here no more... ♪,misc
"That work ethic, like...",recall
- Thank God I had that work ethic. - ♪ But I'm not fine at all... ♪,recall
"Like, I can't change what's gonna happen to me,",recall
but I can control what I write.,give.statement
♪ Looking at it now ♪,misc
♪ It all seems so simple ♪,misc
♪ We were lying on your couch ♪,misc
♪ I remember ♪,misc
#NAME?,x
"where I was like, ""I'm gonna prove myself.",quoted.speech
"I'm gonna make sure people know I deserve to be here.""",quoted.speech
♪ Then discovered... ♪,misc
"The New York Times said, ""By making pop",quoted.speech
"with almost no contemporary references,",quoted.speech
"Miss Swift is aiming somewhere even higher,",quoted.speech
"a mode of timelessness few pop stars even bother aspiring to.""",quoted.speech
Taylor Swift has done something only The Beatles have done:,quoted.speech
an album at number one for six weeks,quoted.speech
for four consecutive albums.,quoted.speech
One magazine headline said it best:,quoted.speech
"""Taylor Swift is the music industry.""",quoted.speech
"♪ In the clear yet, good ♪",misc
♪ Are we out of the woods? ♪,misc
♪ Remember When you hit the brakes too soon? ♪,misc
♪ Twenty stitches in a hospital room ♪,misc
"♪ When you started crying Baby, I did too ♪",misc
♪ But when the sun came up I was lookin' at you ♪,misc
♪ Remember when You couldn't take the heat? ♪,misc
"♪ I walked out I said, ""I'm settin' you free"" ♪",misc
♪ But the monsters turned out To be just trees ♪,misc
♪ When the sun came up I was lookin' at you ♪,misc
♪ I remember ♪,misc
♪ Oh! ♪,misc
♪ Are we out of the woods yet? Are we out of the woods yet? ♪,misc
♪ Are we out of the woods? ♪,misc
♪ Yet? ♪,misc
♪ Yet? ♪,misc
"♪ In the clear yet, good! ♪",misc
That was... that was it.,recall
My life had never been better.,recall
Taylor Swift.,use.social.convention
"I had won Album of the Year at the Grammys for a second time,",recall
which I never thought was a possibility.,give.opinion
And I remembered thinking afterward...,recall
"""Oh, my God, that was all you wanted.",recall
"Oh, God, that was all you wanted.",recall
"That was all you focused on.""",recall
"You get to the mountaintop and you look around,",recall
"and you're like, ""Oh, God. W-What now?""",recall
I want to thank the fans for the last ten years...,use.social.convention
and the Recording Academy...,use.social.convention
I-I didn't have a partner that I climbed it with,recall
"that I could, like, high-five.",recall
I-I didn't have anyone I could talk to who could relate to what I was...,recall
what... what I... you know?,open.question
"I had my mom,",give.statement
but... I just wondered...,recall
"""Shouldn't... shouldn't I...",quoted.speech
"shouldn't I have someone that I could call right now?""",quoted.speech
#NAME?,x
#NAME?,x
- Some people don't. - Who doesn't eat burritos?,closed.question
"Um, I didn't ever eat burritos until, like, two years ago.",recall
"Oh, wow...",relax.atmosphere
I had never tri... I just had never tried one.,recall
- That's the weirdest niche thing. - Yeah.,give.opinion
Mm-mm.,respond.agree
You ever do this?,closed.question
Oh.,relax.atmosphere
#NAME?,x
That's spicy.,relax.atmosphere
#NAME?,x
I'm about to be 29.,give.statement
Twenty-nine? I remember those days.,relax.atmosphere
How do you feel about that?,open.question
I mean...,respond.agree
"yeah, there's a part of me that feels like I'm 57,",give.opinion
but there's a part of me that's like...,give.opinion
"definitely not ready to have kids,",give.opinion
definitely not ready for all this grown-up stuff.,give.opinion
#NAME?,x
I don't think anybody's ever ready for that stuff.,give.opinion
You just figure it out when it happens.,give.opinion
I kind of don't really have the luxury of...,give.opinion
"...figuring stuff out because my life is planned, like, in...",give.opinion
#NAME?,x
"Like, literally, in two months,",give.opinion
they'll come to me with the dates for the next tour.,give.statement
"- Right. - They'll be like, ""So...",recall
"you'll be at Foxborough Stadium,",recall
"this date, 2020,"" or whatever year, you know?",closed.question
"- Like, it's... - Wow. Yeah.",respond.agree
"So, yeah.",respond.agree
Ooh! You scared the shit out of me!,exclamation
Here we go.,exclamation
#NAME?,x
I got it.,exclamation
"- Whoa. Oh. - Oh, no!",exclamation
No!,exclamation
Not the steak!,exclamation
"No, no, not on your forehead!",exclamation
"Yeah, well, I don't know. I... Either that or the lap. I don't know.",relax.atmosphere
#NAME?,x
"Oh, my God, it's all over me.",relax.atmosphere
Want a bite? Want a bite?,relax.atmosphere
"She goes, ""What is the panic?""",quoted.speech
She did a better job of bracing herself for takeoff than we did.,give.opinion
It is like traveling with a pony.,give.opinion
But I love her.,give.statement
#NAME?,x
"She's... Okay, so what you're... what you're seeing here... is...",relax.atmosphere
...is exactly what Mom decided to do,relax.atmosphere
when both of her kids were out of the house.,relax.atmosphere
"She decided to get a third child, like, a human-sized dog.",relax.atmosphere
She's actually my cancer dog.,give.statement
"After I... found that out, I...",recall
"I decided to, um...",give.statement
"to do something I'd always wanted to do, which was...",give.statement
get a-a really big dog.,give.statement
"- That's good, Mom. - Yeah. Well, that's what it is.",relax.atmosphere
I'm happy that worked out for you. I'm sor... sorry you had cancer.,relax.atmosphere
I'm sorry. That's really what it is.,relax.atmosphere
She got cancer several years ago.,recall
That has been really hard for me,give.opinion
because she's my favorite person.,give.statement
"On the third song, where I hadn't gotten it started yet,",recall
"she goes, ""Come on, Mom.""",recall
"Like, into the microphone.",recall
It woke me up from this...,give.statement
this life where I used to sweat all these things.,give.statement
#NAME?,x
"But, like, do you really care",closed.question
if the Internet doesn't like you today,closed.question
if your mom's sick from her chemo?,closed.question
Cheers!,exclamation
"- She looks like you. - Oh, she's just like you, Kitty!",relax.atmosphere
You gotta be able to really prioritize,give.statement
what matters to you.,give.statement
"For me, it's my family and my friends.",give.statement
"This is looking good, right now.",give.opinion
Would you like a glass of red wine or white wine?,closed.question
"Can I get some white wine? Oh, you got the red wine?",respond.agree
- Does that make me a difficult guest? - It's for the recipe.,closed.question
"I'm happy to switch. It's too adult for me,",respond.agree
- let's be honest. - Yeah.,respond.agree
Oh.,relax.atmosphere
"And... ah, yes.",relax.atmosphere
"Okay, that's dinner.",relax.atmosphere
I'm gonna get some ice for my wine. You want any?,closed.question
Yeah.,respond.agree
"Oh, that's fine. That's honestly just what I wanted.",relax.atmosphere
"- Yeah. - You're like... ""Uh...""",relax.atmosphere
Eh.,relax.atmosphere
#NAME?,x
"And, like, I went over to see her, and...",give.statement
How's she doing...,closed.question
- She was just... - ...with motherhood?,closed.question
"Well, she's the best 'cause she's like,",recall
"""Just so you know, this is what it is.",recall
"- You feed 'em, change 'em, they sleep. - Yeah.",recall
"- You feed 'em, change 'em, they sleep. - You do it all over. Yeah.",recall
"- You feed 'em."" Like... - It's just...",recall
"She's... And I was like, ""So, it's like a Tamagotchi?""",relax.atmosphere
#NAME?,x
#NAME?,x
- You'd be an excellent mother. - Thanks.,give.opinion
No questions.,give.opinion
Mmm. Mmm. This is so good.,give.opinion
- I'm gone for a month after this. - Mm.,give.statement
#NAME?,x
Huh?,relax.atmosphere
Three paps.,give.statement
#NAME?,x
"Three of 'em, you say?",closed.question
"Well, good luck sellin' this picture.",relax.atmosphere
"Oh, my God!",exclamation
Taylor!,exclamation
I love you!,exclamation
Well...,relax.atmosphere
"So, this is my front yard...",give.statement
...and...,give.statement
I'm highly aware of the fact that that is not normal.,give.opinion
I've learned over the years...,give.statement
...it's not good for me,give.opinion
to see pictures of myself every day,give.opinion
"'cause I have a tendency,",give.opinion
and it's only happened...,give.opinion
"a few times, and I'm not in any way proud of it,",give.opinion
but I get...,give.opinion
"I tend to get triggered by something, whether it's a picture of me",give.opinion
where I feel like I looked like my tummy was too big,give.opinion
"or... or, like, someone said that I looked pregnant or something,",give.opinion
and that'll just trigger me to just...,give.opinion
"s-starve a little bit, just stop eating.",give.opinion
"I thought that I was just, like, supposed to feel like I was gonna pass out",recall
at the end of a show or in the middle of it.,recall
"I thought that was how it was,",give.opinion
and now I realize:,give.opinion
"no, if you eat food, have energy, get stronger,",give.statement
you can do all these shows and not feel it.,give.statement
Which is...,give.opinion
...a really good revelation...,give.opinion
"because I'm a lot happier with who I am, and I'm happier with, like...",give.statement
I don't...,give.statement
"I don't care as much if, like...",give.statement
somebody points out that I have gained weight.,give.statement
"It's just something that makes my life better,",give.statement
"the fact that I'm, you know...",give.statement
I'm a size six instead of a size double zero.,give.statement
"I mean, that... that wasn't... how my body was supposed to be.",give.statement
I just didn't really...,give.statement
understand that a-at the time. I really don't think I knew it.,give.statement
"I would've defended it to anyone who said, ""I'm concerned about you.""",quoted.speech
"I was like, ""What are you talking about? Of course I eat.",quoted.speech
"It's perfectly normal. I just exercise a lot.""",quoted.speech
"And I did exercise a lot, but I wasn't eating.",recall
And...,give.statement
you can't...,give.statement
I just...,give.statement
I don't think you know you're doing that when you're doing it gradually.,give.opinion
There's always some standard of beauty,give.statement
that you're not meeting.,give.statement
'Cause if you're thin enough,give.statement
then you don't have that ass that everybody wants.,give.statement
"But if you have enough weight on you to have an ass,",give.statement
then your stomach isn't flat enough.,give.statement
It's all just...,give.statement
fucking impossible.,give.statement
"You don't ever say to yourself, ""Look, I've got an eating disorder,""",quoted.speech
"but you know you're, like, making a list of everything you put",give.statement
"in your mouth that day, and you know that's probably not right,",give.statement
"but then again, there's so many diet blogs that tell you that that...",give.statement
that that's what you should do.,give.statement
"This would cause me to go into, like, a real shame...",give.statement
"like, hate spiral.",give.statement
This.,give.statement
"And, like, I caught myself yesterday starting to do it, and I was like,",recall
"""Nope, we don't do that anymore. We do not do that anymore,",recall
because it's better to look...,give.opinion
to think you look fat than to look sick.,give.opinion
"And we don't do that anymore, and you just...",give.opinion
"We're just... We're changing the channel in our brain,",give.opinion
and we're not... we're not doin' that anymore.,recall
"That didn't end us up in a good place.""",recall
"As your career goes like this, the magnifying glass goes like that.",relax.atmosphere
Taylor Swift could not take herself more seriously.,use.social.convention
I think that there's plenty of annoying women.,give.opinion
"I-I think that Taylor Swift, she is annoying.",give.opinion
She's too good. She's too skinny. It bothers me.,give.opinion
"All of her model friends. And it's just like, come on!",give.opinion
"Lock and load, boys.",relax.atmosphere
"Yo, Taylor! You fucked him, Taylor?",closed.question
We've got a roundup of the guys that Miss Swifty has,give.statement
"at one point been romantic with,",give.statement
and there are a lot of hotties on this list.,give.opinion
Holy date life.,relax.atmosphere
...meet the parents?,closed.question
She's going through guys like a train.,give.opinion
- Can we get a pan down? - It's beautiful.,give.opinion
"I wanted to show the legs, 'cause as I was telling you,",give.statement
you're gonna walk home with more than maybe just a trophy tonight.,give.opinion
I think lots of men.,give.statement
I'm not gonna walk home with any men tonight.,give.statement
"Watch... watch out, guys!",exclamation
We give you the latest can't-look-away twist,give.statement
in one of America's favorite celebrity feuds.,use.social.convention
Kanye West recently dissed Taylor,give.statement
"in his new song, ""Famous.""",give.statement
The song contains a lyric calling Taylor Swift the b-word.,give.statement
♪ I feel like me and Taylor Might still have sex ♪,misc
♪ Why? I made that bitch famous ♪,misc
Kanye had said all along that he got permission. Taylor denied it.,give.statement
Kim Kardashian released video of Kanye West,give.statement
secretly recording his conversation.,give.statement
"I mean, thanks for being, like, so cool about it.",give.statement
#NAME?,x
"Um, yeah, I really appreciate it. Like, the heads-up is so nice.",recall
"She posted on Instagram, ""Where in the video is Kanye telling me",recall
he was gonna call me 'that...,recall
"- biatch' in his song?"" - Yeah.",recall
"Swift writing,",recall
"""I would very much like to be excluded from this narrative,",recall
"one that I have never asked to be a part of, since 2009.""",recall
I don't buy the story that she was so insulted by that one line.,recall
"I think she saw an opportunity to be victimized here,",recall
and she thought everybody was gonna get on her side.,recall
"♪ I feel like me and Taylor Might still have sex, why? ♪",misc
♪ I made that bitch famous ♪,misc
#NAME?,x
Hold on.,relax.atmosphere
Fuck Taylor Swift!,exclamation
Fuck Taylor Swift! Fuck Taylor Swift! Fuck Taylor Swift! Fuck Taylor Swift!,exclamation
When people decided I was...,give.statement
wicked and evil and conniving,give.statement
"and not... a good person,",give.statement
that was the one that I couldn't really bounce back from,recall
'cause my whole life was centered around it.,give.opinion
#TaylorSwiftIsOverParty was the number one trend,recall
on Twitter worldwide.,recall
Know how many people have to be tweeting that they hate you for that to happen?,closed.question
We're people who got into this line of work,give.opinion
"because we wanted people to like us,",give.opinion
"'cause we were intrinsically insecure,",give.opinion
because we liked the sound of people clapping,give.opinion
'cause it made us forget how much we feel like we're not good enough.,give.opinion
"And I've been doing this for 15 years, and it's just, I'm tired of it.",give.opinion
I'm just tired of the...,give.opinion
...just...,give.opinion
...it just feels like it's more than music now at this point.,give.opinion
"And, just, most days, I'm like, ""Okay.""",quoted.speech
"But then sometimes, I'm just like...",give.opinion
...it just gets loud sometimes.,give.opinion
"When people fall out of love with you,",give.opinion
there's nothing you can do to make them change their mind.,give.opinion
They just don't love you anymore.,give.statement
I just wanted to disappear.,recall
Nobody physically saw me for a year.,recall
And that was what I thought they wanted.,recall
"♪ The world moves on Another day, another drama, drama ♪",misc
"♪ But not for me, not for me All I think about is karma ♪",misc
♪ And then the world moves on But one thing's for sure ♪,misc
♪ Maybe I got mine But you'll all get yours ♪,misc
The reason why that backlash hurt so much,give.opinion
was because that used to be all I had.,give.opinion
♪ I never trust a narcissist But they love me ♪,misc
♪ So I play 'em like a violin And I make it look oh so easy ♪,misc
♪ If you've been on my case For a long time ♪,misc
I felt really alone. I felt really bitter.,recall
"I felt, you know, sort of like a wounded animal lashing out.",recall
♪ Is this the end of all the endings? ♪,misc
♪ My broken bones are mending ♪,misc
♪ With all these nights we're spending Up on the roof ♪,misc
I figured I had to reset everything.,give.opinion
♪ My castle crumbled overnight ♪,misc
♪ Brought a knife to a gunfight ♪,misc
♪ They took the crown But it's all right ♪,misc
♪ All the liars are calling me one ♪,misc
♪ Nobody's heard from me for months ♪,misc
♪ Doin' better than I ever was... ♪,misc
I had to deconstruct an entire belief system,recall
for my own personal sanity.,recall
I also was falling in love with someone,recall
"who had a really wonderfully normal, balanced, grounded life.",recall
And we decided together,recall
that we wanted our relationship to be private.,recall
♪ Like I'm brand-new ♪,misc
♪ Call it what you want ♪,misc
"♪ Yeah, call it what you want to ♪",misc
♪ All my flowers grew back as thorns ♪,misc
♪ Windows boarded up after the storm ♪,misc
♪ He built a fire just to keep me warm ♪,misc
♪ And I know I make the same mistakes Every time ♪,misc
"♪ Bridges burn, I never learn ♪",misc
♪ At least I did one thing right ♪,misc
♪ I did one thing right ♪,misc
♪ I'm laughing with my lover Making forts under covers ♪,misc
"♪ Trust him like a brother Yeah, you know I did one thing right ♪",misc
♪ Starry eyes sparkin' up My darkest nights ♪,misc
"♪ Call it what you want Yeah, call it what you want to ♪",misc
♪ My baby's fit like a daydream ♪,misc
I love you.,relax.atmosphere
♪ To ♪,misc
"♪ Call it what you want Yeah, call it what you want ♪",misc
...to.,misc
"Even though it was really horrible,",recall
I was happy.,recall
But I wasn't happy in the way that I'd been trained to be happy.,recall
It was happiness without...,recall
anyone else's input.,recall
It was just... we were happy.,recall
♪ You should take it As a compliment ♪,misc
♪ That I got drunk And made fun of the way you talk ♪,misc
♪ You should think about the consequence ♪,misc
♪ Of your magnetic field Being a little too strong ♪,misc
♪ This ain't for the best ♪,misc
♪ My reputation's never been worse So... ♪,misc
♪ You must like me for me ♪,misc
"I'm gonna go back to doing my job,",recall
and I'm gonna make a record I'm proud of.,recall
"♪ We can't make any promises now Can we, babe? ♪",misc
♪ But you can make me a drink ♪,misc
♪ Me for me ♪,misc
- Perfect. - It's really cool.,respond.agree
♪ This ain't for the best ♪,misc
"♪ But my reputation's Never been worse, so ♪",misc
♪ You must like me for me ♪,misc
#NAME?,x
#NAME?,x
#NAME?,x
♪ That's when I get to be with you ♪,misc
♪ You're so sweet ♪,misc
Time to do vocals. What are you doing?,open.question
- I'm turning on my party shoes for vocals. - Good.,respond.agree
"We've never really gotten a good take without them, have we?",closed.question
No.,respond.agree
♪ We were jet-set ♪,misc
"♪ Bonnie and Clyde, oh, oh ♪",misc
♪ Till I switched to the other side... ♪,misc
Like a Dylan-y kind of thing.,give.statement
"♪ No surprise I turned you in, oh, oh ♪",misc
♪ 'Cause us traitors never win ♪,misc
♪ I'm in a getaway car ♪,misc
Ah!,relax.atmosphere
♪ And I'm losin' my... ♪,misc
Something.,relax.atmosphere
- ♪ Think about the... ♪ - It's uh...,misc
♪ I'm in a getaway car ♪,misc
♪ And... and you're ♪,misc
- ♪ You're in the motel bar ♪ - ♪ Where is it? ♪,misc
"- Or, like... - Yeah, ""I'm in the getaway car.",give.opinion
"Left you in the motel bar, took the money...""",recall
#VALUE!,x
"""Put the money in the bag, I stole the keys.",recall
